Title,Author,Publication Year,DOI,Publication Title
Working conditions mediate the association between social class and physical function in older age in Sweden: a prospective cohort study.,"Pandey, Nikita; Darin-Mattsson, Alexander; Nilsen, Charlotta",2020,10.1186/s12889-020-09431-9,BMC public health
"Within-Person Associations Between Attachment Security, Need Satisfaction and Psychological Adjustment in Daily Life of Older Adults.","Martin, Annika A.; Horn, Andrea B.; Allemand, Mathias",2021,10.1093/geronb/gbz148,"The journals of gerontology. Series B, Psychological sciences and social sciences"
"Within- and Between-Person Relationships Among Health, Awareness of Aging, and Control Beliefs: A Microlongitudinal Study.","Zhang, Shenghao; Neupert, Shevaun D",2021,10.1093/geronb/gbaa180,Journals of Gerontology Series B: Psychological Sciences & Social Sciences
Why and when social support predicts older adults' pain-related disability: a longitudinal study.,"Matos, Marta; Bernardes, Sónia F.; Goubert, Liesbet",2017,10.1097/j.pain.0000000000000990,Pain
Which model of successful ageing should be used? Baseline findings from a British longitudinal survey of ageing.,"Bowling, Ann; Iliffe, Steve",2006,10.1093/ageing/afl100,Age & Ageing
Where people live and die makes a difference: Individual and geographic disparities in well-being progression at the end of life.,"Gerstorf, Denis; Ram, Nilam; Goebel, Jan; Schupp, Jürgen; Lindenberger, Ulman; Wagner, Gert G.",2010,10.1037/a0019574,Psychology and aging
What factors influence healthy aging? A person-centered approach among older adults in Taiwan.,"Liu, Li-Fan; Su, Pei-Fang",2017,10.1111/ggi.12774,Geriatrics & gerontology international
What do targeting positive views on ageing add to a physical activity intervention in older adults? Results from a randomised controlled trial.,"Wolff, Julia K.; Warner, Lisa M.; Ziegelmann, Jochen P.; Wurm, Susanne",2014,10.1080/08870446.2014.896464,Psychology & Health
Ways of healthy aging: a case study of elderly people in a Northern Thai village.,Danyuthasilpe C; Amnatsatsue K; Tanasugarn C; Kerdmongkol P; Steckler AB,2009,10.1093/heapro/dap038,Health Promotion International
Water-loss (intracellular) dehydration assessed using urinary tests: how well do they work? Diagnostic accuracy in older people.,"Hooper, Lee; Bunn, Diane K.; Abdelhamid, Asmaa; Gillings, Rachel; Jennings, Amy; Maas, Katie; Millar, Sophie; Twomlow, Elizabeth; Hunter, Paul R.; Shepstone, Lee; Potter, John F.; Fairweather-Tait, Susan J.",2016,10.3945/ajcn.115.119925,American Journal of Clinical Nutrition
Waist-hip-ratio as a predictor of all-cause mortality in high-functioning older adults.,"Srikanthan, Preethi; Seeman, Teresa E.; Karlamangla, Arun S.",2009,10.1016/j.annepidem.2009.05.003,Annals of epidemiology
Vitamin D Status and Intakes and Their Association With Cognitive Trajectory in a Longitudinal Study of Urban Adults.,"Beydoun, May A.; Hossain, Sharmin; Fanelli-Kuczmarski, Marie T.; Beydoun, Hind A.; Canas, Jose-Atilio; Evans, Michele K.; Zonderman, Alan B.",2018,10.1210/jc.2017-02462,The Journal of clinical endocrinology and metabolism
Vitamin D Receptor and Megalin Gene Polymorphisms Are Associated with Longitudinal Cognitive Change among African-American Urban Adults.,"Beydoun, May A.; Tajuddin, Salman M.; Dore, Greg A.; Canas, Jose-Atilio; Beydoun, Hind A.; Evans, Michele K.; Zonderman, Alan B.",2017,10.3945/jn.116.244962,Journal of Nutrition
"Validation of an a priori, index model of successful aging in a population-based cohort study: the successful aging index.","Cosco, Theodore D.; Stephan, Blossom C. M.; Brayne, Carol",2015,10.1017/S1041610215000708,International psychogeriatrics
Validation of a novel successful aging construct.,Young Y; Fan M; Parrish JM; Frick KD,2009,10.1016/j.jamda.2009.01.003,Journal of the American Medical Directors Association
Vaccination coverage and associated factors for receipt of the 23-valent pneumococcal polysaccharide vaccine in Taiwan: A nation-wide community-based study.,"Chen, Chang-Hua; Wu, Ming-Shiang; Wu, I.-Chien",2018,10.1097/MD.0000000000009773,Medicine
Using Nursing Intervention Classification in an Advance Practice Registered Nurse-Led Preventive Model for Adults Aging With Developmental Disabilities.,"Hahn, Joan Earle",2014,10.1111/jnu.12085,Journal of Nursing Scholarship
Urinary Incontinence Is Associated With Physical Performance Decline in Community-Dwelling Older Women: Results From the International Mobility in Aging Study.,"Corrêa, Luana Caroline de Assunção Cortez; Pirkle, Catherine M.; Wu, Yan Yan; Vafaei, Afshin; Curcio, Carmen-Lucia; Câmara, Saionara Maria Aires da",2019,10.1177/0898264318799223,Journal of Aging & Health
Understanding the role of contrasting urban contexts in healthy aging: an international cohort study using wearable sensor devices (the CURHA study protocol).,"Kestens, Yan; Chaix, Basile; Gerber, Philippe; Desprès, Michel; Gauvin, Lise; Klein, Olivier; Klein, Sylvain; Köppen, Bernhard; Lord, Sébastien; Naud, Alexandre; Payette, Hélène; Richard, Lucie; Rondier, Pierre; Shareck, Martine; Sueur, Cédric; Thierry, Benoit; Vallée, Julie; Wasfi, Rania",2016,10.1186/s12877-016-0273-7,BMC geriatrics
Understanding of informed consent by demented individuals.,"Buckles, V. D.; Powlishta, K. K.; Palmer, J. L.; Coats, M.; Hosto, T.; Buckley, A.; Morris, J. C.",2003,10.1212/01.wnl.0000098933.34804.fc,Neurology
Twelve-Month Retention in and Impact of Enhance®Fitness on Older Adults in Hawai'i.,"Tomioka, Michiyo; Braun, Kathryn L.; Wu, Yan Yan; Holt, Kay; Keele, Paula; Tsuhako, Lori; Yago, Johnny",2019,10.1155/2019/9836181,Journal of Aging Research
Translating research to promote healthy aging: the complementary role of longitudinal studies and clinical trials.,Guralnik JM; Kritchevsky SB,2010,10.1111/j.1532-5415.2010.02938.x,Journal of the American Geriatrics Society
Transition to a More even Distribution of Daily Protein Intake is Associated with Enhanced Fat Loss during a Hypocaloric & Physical Activity Intervention in Obese Older Adults.,"Farsijani, S.; Cauley, J. A.; Santanasto, A. J.; Glynn, N. W.; Boudreau, R. M.; Newman, Anne B.",2020,10.1007/s12603-020-1313-8,"Journal of Nutrition, Health & Aging"
"Trajectories of the healthy ageing phenotype among middle-aged and older Britons, 2004-2013.","Tampubolon, Gindo",2016,10.1016/j.maturitas.2016.03.002,Maturitas
Trajectories of nutritional risk of survivors of the Manitoba Follow-up Study.,"Lengyel, C. O.; Tate, R. B.; Jiang, D.",2015,"",Canadian Journal of Dietetic Practice & Research
Trajectories of Life Satisfaction and their Predictors among Korean Older Adults.,"Lim, Hyun Ja; Min, Dae Kee; Thorpe, Lilian; Lee, Chel Hee",2017,10.1186/s12877-017-0485-5,BMC geriatrics
"Trajectories of irregular word reading ability as a proxy for premorbid intelligence in Alzheimer's disease, mild cognitive impairment, and healthy aging: A longitudinal  study.","Weinborn, Michael; Bucks, Romola S.; Sohrabi, Hamid R.; Rainey-Smith, Stephanie R.; Brown, Belinda M.; Gardener, Samantha L.; Gozt, Aleksandra; Christensen, Daniel; Savage, Greg; Laws, Simon M.; Taddei, Kevin; Maruff, Paul; Robertson, Joanne S.; Ellis, Kathryn A.; Ames, David; Masters, Colin L.; Rowe, Christopher C.; Martins, Ralph N.",2018,10.1037/pas0000565,Psychological assessment
Trajectories of health for older adults over time: accounting fully for death.,"Diehr P; Patrick DL; Diehr, Paula; Patrick, Donald L",2003,10.7326/0003-4819-139-5_part_2-200309021-00007,Annals of Internal Medicine
Trajectories of function and biomarkers with age: the CHS All Stars Study.,"Newman, Anne B.; Sanders, Jason L.; Kizer, Jorge R.; Boudreau, Robert M.; Odden, Michelle C.; Zeki Al Hazzouri, Adina; Arnold, Alice M.",2016,10.1093/ije/dyw092,International journal of epidemiology
Trajectories of brain loss in aging and the development of cognitive impairment.,"Carlson, N. E.; Moore, M. M.; Dame, A.; Howieson, D.; Silbert, L. C.; Quinn, J. F.; Kaye, J. A.",2008,10.1212/01.wnl.0000280577.43413.d9,Neurology
Trajectories of ageing well among older Australians: a 16-year longitudinal study.,"BROWNING, COLETTE J.; ENTICOTT, JOANNE C.; THOMAS, SHANE A.; KENDIG, HAL",2018,10.1017/S0144686X17000162,Ageing & Society
Trajectories of Accumulation of Health Deficits in Older Adults: Are There Variations According to Health Domains?,"García-Esquinas, Esther; Ortolá, Rosario; Prina, Matthew; Stefler, Denes; Rodríguez-Artalejo, Fernando; Pastor-Barriuso, Roberto",2019,10.1016/j.jamda.2018.12.023,Journal of the American Medical Directors Association
"Total plasma homocysteine, age, systolic blood pressure, and cognitive performance in older people.","Budge, Marc M.; de Jager, Celeste; Hogervorst, Eva; Smith, A. David",2002,10.1046/j.1532-5415.2002.50614.x,Journal of the American Geriatrics Society
To what extent is subjective well-being in late adulthood related to subjective and objective memory functioning? Five-year cross-lagged panel analyses.,"Nyström, Markus B. T.; Sörman, Daniel E.; Kormi-Nouri, Reza; Rönnlund, Michael",2019,10.1080/13607863.2017.1394439,Aging & mental health
"Time trends in nutrient intake and dietary patterns among five birth cohorts of 70-year-olds examined 1971-2016: results from the Gothenburg H70 birth cohort  studies, Sweden.","Samuelsson, Jessica; Rothenberg, Elisabet; Lissner, Lauren; Eiben, Gabriele; Zettergren, Anna; Skoog, Ingmar",2019,10.1186/s12937-019-0493-8,Nutrition journal
