fecha,titulo,autor,co_autores,ano_pub,DOI,revista,edad_45,factores_ee,reporte_rr,reporte_or,envejecimiento_es,cohorte,estudio_ee,accion,comentario
05/10/2021,Successful Aging and Changes in Sexual Interest and Enjoyment Among Older European Men and Women.,Å tulhofer,"Štulhofer, Aleksandar; Hinchliff, Sharron; Jurin, Tanja; Hald, Gert Martin; Træen, Bente",2018,10.1016/j.jsxm.2018.08.011,The journal of sexual medicine,1,2,2,2,1,4,2,,ee y sexualidad
07/09/2021,Brain energy metabolism and blood flow differences in healthy aging.,Aanerud,"Aanerud, Joel; Borghammer, Per; Chakravarty, M. Mallar; Vang, Kim; Rodell, Anders B.; Jónsdottir, Kristjana Y.; Møller, Arne; Ashkanian, Mahmoud; Vafaee, Manouchehr S.; Iversen, Peter; Johannsen, Peter; Gjedde, Albert",2012,10.1038/jcbfm.2012.18,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2,2,2,2,2,4,2,,
06/09/2021,Age-related differences in default-mode network connectivity in response to intermittent theta-burst stimulation and its relationships with maintained cognition  and brain integrity in healthy aging.,Abellaneda-PÃ©rez,"Abellaneda-Pérez, Kilian; Vaqué-Alcázar, Lídia; Vidal-Piñeiro, Dídac; Jannati, Ali; Solana, Elisabeth; Bargalló, Núria; Santarnecchi, Emiliano; Pascual-Leone, Alvaro; Bartrés-Faz, David",2019,10.1016/j.neuroimage.2018.11.036,NeuroImage,1,2,2,2,2,3,2,,
21/09/2021,Level of physical activity at the age of 65 predicts successful aging seven years later: the PROOF study.,Achour,"Achour, Emilie Crawford; Barthelemy, Jean Claude; Lionard, Karine Castro; Trombert, Béatrice; Lacour, Jean René; Thomas-Anterion, Catherine; Gonthier, Régis; Garet, Martin; Roche, Frédéric",2011,10.1089/rej.2010.1101,Rejuvenation Research,1,2,2,2,2,4,2,,"Mencionan como outcome el EE, pero en el abstract el outcome es bienestar. No definen EE. "
21/09/2021,Inhibition and Switching in Healthy Aging: A Longitudinal Study.,AdÃ³lfsdÃ³ttir,"Adólfsdóttir, Steinunn; Wollschlaeger, Daniel; Wehling, Eike; Lundervold, Astri J.",2017,10.1017/S1355617716000898,Journal of the International Neuropsychological Society : JINS,1,2,2,2,1,1,2,,
07/09/2021,Centenarian offspring: start healthier and stay healthier.,Adams,"Adams, Emily R.; Nolan, Vikki G.; Andersen, Stacy L.; Perls, Thomas T.; Terry, Dellara F.",2008,10.1111/j.1532-5415.2008.01949.x,Journal of the American Geriatrics Society,1,2,2,2,2,1,2,,
05/10/2021,Ten dimensions of health and their relationships with overall self-reported health and survival in a predominately religiously active elderly population: the Cache County memory study.,Ã˜stbye,"Østbye, Truls; Krause, Katrina M.; Norton, Maria C.; Tschanz, JoAnn; Sanders, Linda; Hayden, Kathleen; Pieper, Carl; Welsh-Bohmer, Kathleen A.",2006,10.1111/j.1532-5415.2005.00583.x,Journal of the American Geriatrics Society,1,2,2,2,1,4,2,,
22/09/2021,"Meaning in Life and Its Relationship With Physical, Mental, and Cognitive Functioning: A Study of 1,042 Community-Dwelling Adults Across the Lifespan.",Aftab,"Aftab, Awais; Lee, Ellen E.; Klaus, Federica; Daly, Rebecca; Wu, Tsung-Chin; Tu, Xin; Huege, Steven; Jeste, Dilip V.",2019,10.4088/JCP.19m13064,The Journal of clinical psychiatry,1,2,2,2,2,4,1,,
24/09/2021,"Physical Activity, Sedentary Behavior, and Long-Term Changes in Aortic Stiffness: The Whitehall II Study.",Ahmadi-Abhari,"Ahmadi-Abhari, Sara; Sabia, Severine; Shipley, Martin J.; Kivimäki, Mika; Singh-Manoux, Archana; Tabak, Adam; McEniery, Carmel; Wilkinson, Ian B.; Brunner, Eric J.",2017,10.1161/JAHA.117.005974,Journal of the American Heart Association,1,2,2,2,2,1,1,,
04/10/2021,Social and Behavioural Determinants of the Difference in Survival among Older Adults in Japan and England.,Aida,"Aida, Jun; Cable, Noriko; Zaninotto, Paola; Tsuboya, Toru; Tsakos, Georgios; Matsuyama, Yusuke; Ito, Kanade; Osaka, Ken; Kondo, Katsunori; Marmot, Michael G.; Watt, Richard G.",2018,10.1159/000485797,Gerontology,1,2,2,2,2,1,1,,
