"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HCITRXFE","journalArticle","2021","Bayes-Marin, Ivet; Sanchez-Niubo, Albert; Fernández, Daniel; Haro, Josep Maria; Olaya, Beatriz","Risk of all-cause mortality associated with chronic obstructive pulmonary disease and the role of healthy ageing trajectories: a population-based study of middle-aged  and older adults.","BMJ open","","2044-6055","10.1136/bmjopen-2021-050947","","OBJECTIVES: The aims were to study the risk of all-cause mortality associated with chronic obstructive pulmonary disease (COPD) and healthy ageing trajectories (HAT)  in three birth cohorts and to determine the moderating role of HAT in the  association between COPD and all-cause mortality. DESIGN: Prospective cohort study.  SETTING: Data from waves 1 to 5 of The Survey of Health, Ageing and Retirement in  Europe. PARTICIPANTS: The total sample was 28 857 community-dwelling individuals  aged 50+ years. MAIN OUTCOME: All-cause mortality associated with COPD and HAT  adjusting for covariates. We performed Aalen additive hazards models to explore  these associations. Interactions between COPD and HAT were also explored. Analyses  were conducted separately in three birth cohorts (>1945, 1936-1945 and ≤1935).  Latent class growth analysis was used to classify participants into HAT. RESULTS:  Three parallel HAT were found in the three birth cohorts ('low', 'medium' and 'high'  healthy ageing). Participants with COPD had an increased mortality risk, but this  effect was no longer significant after adjusting for covariates. The 'low' HAT was  associated with increased mortality risk in the three subsamples, although this  effect was lower after adjustment. The interaction between COPD and HAT was  significant only in the ≤1935 birth cohort, indicating that those with COPD and a  'low' trajectory had a greater risk of mortality. CONCLUSIONS: The healthy ageing  scale may be a suitable tool to identify patients at higher risk to mitigate disease  burden and improve patients' quality of life.","2021-07-28","2021-08-16 22:44:53","2021-08-16 22:44:53","","e050947","","7","11","","BMJ Open","","","","","","","","eng","© Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY. Published by BMJ.","","","","","","PMID: 34321308  PMCID: PMC8320253","","","","Aged; Humans; Middle Aged; Quality of Life; Prospective Studies; *chronic airways disease; *epidemiology; *Healthy Aging; *public health; *Pulmonary Disease, Chronic Obstructive; Europe/epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W7DP8R77","journalArticle","2021","Byles, Julie E.; Princehorn, Emily M.; Forder, Peta M.; Rahman, Md Mijanur","Housing and Care for Older Women in Australia.","Frontiers in public health","","2296-2565","10.3389/fpubh.2021.566960","","Background: Housing is essential for healthy ageing, being a source of shelter, purpose, and identity. As people age, and with diminishing physical and mental  capacity, they become increasingly dependent on external supports from others and  from their environment. In this paper we look at changes in housing across later  life, with a focus on the relationship between housing and women's care needs.  Methods: Data from 12,432 women in the 1921-26 cohort of the Australian Longitudinal  Study on Women's Health were used to examine the interaction between housing and  aged care service use across later life. Results: We found that there were no  differences in access to home and community care according to housing type, but  women living in an apartment and those in a retirement village/hostel were more  likely to have an aged care assessment and had a faster rate of admission to  institutional residential aged care than women living in a house. The odds of having  an aged care assessment were also higher if women were older at baseline, required  help with daily activities, reported a fall, were admitted to hospital in the last  12 months, had been diagnosed or treated for a stroke in the last 3 years, or had  multiple comorbidities. On average, women received few services in the 24 months  prior to admission to institutional residential aged care, indicating a potential  need to improve the reach of these services. Discussion: We find that coincident  with changes in functional capacities and abilities, women make changes to their  housing, sometimes moving from a house to an apartment, or to a village. For some,  increasing needs in later life are associated with the need to move from the  community into institutional residential aged care. However, before moving into  care, many women will use community services and these may in turn delay the need to  leave their homes and move to an institutional setting. We identify a need to  increase the use of community services to delay the admission to institutional  residential aged care.","2021","2021-08-16 22:44:53","2021-08-16 22:44:53","","566960","","","9","","Front Public Health","","","","","","","","eng","Copyright © 2021 Byles, Princehorn, Forder and Rahman.","","","","","","PMID: 34222159  PMCID: PMC8249770","","","","Aged; Humans; Female; Longitudinal Studies; *healthy ageing; *home and community care; *housing; *Housing; *longitudinal data; *residential aged care; *Retirement; Accidental Falls; Australia/epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NJ2QCBW","journalArticle","2021","Swan, Lauren; Warters, Austin; O'Sullivan, Maria","Socioeconomic Inequality and Risk of Sarcopenia in Community-Dwelling Older Adults.","Clinical interventions in aging","","1178-1998 1176-9092","10.2147/CIA.S310774","","INTRODUCTION: Maintaining skeletal muscle function throughout life is a crucial component of successful aging. Disadvantaged socioeconomic position (SEP) is  associated with adverse health outcomes, but has not been extensively studied for  the muscle disease sarcopenia. We aimed to determine the prevalence of probable  sarcopenia, a precursor to sarcopenia diagnosis, based on the European Working Group  on Sarcopenia in Older People 2 (EWGSOP2) guidelines overall, and according to SEP.  METHODS: This cross-sectional study comprised 3342 community-dwelling older adults  [mean age (SD) 68.9 ± 6.3 years] from Wave 1 of the Irish Longitudinal Study on  Ageing. Probable sarcopenia was identified using gender-specific cut-off values for  handgrip strength as recommended by EWGSOP2. SEP was defined by educational  attainment. Multivariate regression analysis was employed to determine associations  between probable sarcopenia and pre-defined risk factors. RESULTS: Overall, 23.4% of  the population had probable sarcopenia and was significantly higher in the subset  with low compared with high SEP (28.9% vs 18.1%, p<0.001). Consistent with this,  multivariate logistic regression analysis showed that disadvantaged SEP was a  significant determinant of probable sarcopenia [OR, CI 1.48 (1.17, 1.87) p<0.001].  Other known risk factors, namely, increased age, low physical activity, comorbidity,  and osteoarthritis were significantly associated with an increased likelihood of  probable sarcopenia, while overweight/obesity appeared to be protective. CONCLUSION:  Disadvantaged SEP was an independent determinant of probable sarcopenia in  community-dwelling older adults. These findings highlight that SEP and health  inequality should be considered in prevention and treatment policy for sarcopenia in  the community.","2021","2021-08-16 22:44:53","2021-08-16 22:44:53","","1119-1129","","","16","","Clin Interv Aging","","","","","","","","eng","© 2021 Swan et al.","","","","","","PMID: 34168435  PMCID: PMC8216634","","","","Aged; Humans; Risk Factors; Male; Aged, 80 and over; Cross-Sectional Studies; Longitudinal Studies; Socioeconomic Factors; Prevalence; *Health Status Disparities; aging; hand grip strength; Hand Strength/physiology; Independent Living/*statistics & numerical data; muscle function; Muscle Strength/*physiology; Muscle, Skeletal/*physiology; Obesity/epidemiology; sarcopenia; Sarcopenia/diagnosis/*epidemiology; socioeconomic position","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHBMEJ2M","journalArticle","2021","Nari, Fatima; Jang, Bich Na; Kim, Selin; Jeong, Wonjeong; Jang, Sung-In; Park, Eun-Cheol","Association between successful aging transitions and depressive symptoms among older Korean adults: findings from the Korean longitudinal study of aging (2006-2018).","BMC geriatrics","","1471-2318","10.1186/s12877-021-02250-6","","Background: The importance of SA (Successful aging) has been emphasized in recent years, with focus shifting towards attaining healthier aging rather than longevity. However, the influence of SA and its changes on mental health such as depression remains a relatively unexplored area in gerontology. Therefore, we investigated the longitudinal association between changes in SA and depressive symptoms in Korean older adults.Methods: This study comprised a longitudinal sample of older adults aged ≥ 45 years, drawn from the Korean Longitudinal Study of Aging (2006-2018). Changes in SA status was determined using the Rowe and Kahn model over two consecutive years. Using an adjusted generalized estimating equation model, we examined the association between changes in successful aging status, namely SA and NSA (Non-successful aging), and depressive symptoms.Results: Compared to the SA→SA group, depressive symptom risk in the NSA→NSA and SA→NSA groups were higher in men [(OR, 1.16; 95 % CI, 1.13-1.18), (OR, 1.11; 95 % CI, 1.08-1.13), respectively] and in women [(OR, 1.15; 95 % CI, 1.13-1.18), (OR, 1.11; 95 % CI, 1.09-1.14), respectively]. Subgroup analysis of the dimensions of successful aging revealed that low or worsening criteria of successful aging status in men and women were associated with depressive symptoms.Conclusions: Korean older adults who continuously failed to attain or maintain successful aging status had the highest risk of depressive symptoms. These results could further assist in establishing policies and interventions that promote successful aging and subsequently protect the mental health of the Korean older adult population.","2021-06-09","2021-08-16 22:44:53","2021-08-18 19:45:05","","352","","1","21","","BMC Geriatr","","","","","","","","eng","","","","","","","PMID: 34107866  PMCID: PMC8191095","","","","Aged; Humans; Female; Male; Aging; Longitudinal Studies; Mental Health; Prospective Studies; *Aging; *Depression/diagnosis/epidemiology; *depressive symptoms; *KLoSA; *longitudinal analysis; *older adults; *Successful aging; Republic of Korea/epidemiology; Depression -- Diagnosis; Depression -- Epidemiology; South Korea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAJCF3EM","journalArticle","2021","Zingmark, Magnus; Norström, Fredrik","Transitions between levels of dependency among older people receiving social care - a retrospective longitudinal cohort study in a Swedish municipality.","BMC geriatrics","","1471-2318","10.1186/s12877-021-02283-x","","BACKGROUND: Knowledge is scarce on how needs for home help and special housing evolve among older people who begin to receive support from municipal social care.  The purpose of this study was to describe baseline distributions and transitions  over time between levels of dependency among older persons after being granted  social care in a Swedish municipality. METHODS: Based on a longitudinal cohort study  in a Swedish municipality, data was collected retrospectively from municipal  records. All persons 65 years or older who received their first decision on social  care during 2010 (n = 415) were categorized as being in mild, moderate, severe, or  total dependency, and were observed until the end of 2013. Baseline distributions  and transitions over time were described descriptively and analysed with survival  analysis, with the Kaplan-Meier estimator, over the entire follow-up period. To test  potential differences in relation to gender, we used the Cox-Proportional hazards  model. RESULTS: Baseline distributions between mild, moderate, severe, and total  dependency were 53, 16, 24, and 7.7%. During the first year, between 40 and 63%  remained at their initial level of dependency. Among those with mild and moderate  levels of dependency at baseline, a large proportion declined towards increasing  levels of dependency over time; around 40% had increased their dependency level 1  year from baseline and at the end of the follow-up, 75% had increased their  dependency level or died. CONCLUSIONS: Older people in Sweden being allocated home  help are at high risk for decline towards higher levels of dependency, especially  those at mild or moderate dependency levels at baseline. Taken together, it is  important that municipalities make use of existing knowledge so that they implement  cost-effective preventative interventions for older people at an early stage before  a decline toward increasing levels of dependency.","2021-06-02","2021-08-16 22:44:53","2021-08-16 22:44:53","","342","","1","21","","BMC Geriatr","","","","","","","","eng","","","","","","","PMID: 34078277  PMCID: PMC8173751","","","","Aged; Humans; Aged, 80 and over; Cohort Studies; Longitudinal Studies; *Disablement process; *Functional decline; *Health promotion; *Healthy ageing; *Prevention; *Reablement; *Social Support; Cities; Retrospective Studies; Sweden/epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TXRFA9Y","journalArticle","2021","Zhang, Jian; Zhao, Ai","Dietary Diversity and Healthy Aging: A Prospective Study.","Nutrients","","2072-6643","10.3390/nu13061787","","Population aging is a global phenomenon. The present study determined the effects of dietary diversity score (DDS) and food consumption on healthy aging. A subset of the  data of the China Health and Nutrition Survey was utilized in this study. DDSs were  calculated using the dietary data collected in the years 2009 and 2011. A healthy  aging score (HAS) was calculated by summing the standardized scores on physical  functional limitation, comorbidity, cognitive function, and psychological stress  based on the data collected in the year 2015, with a lower HAS indicating a  healthier aging process. Life quality was self-reported in the year 2015. This study  found that DDS was inversely associated with HAS (T3 vs. T1: β -0.16, 95%CI -0.20 to  -0.11, p-trend <0.001). The consumption of meat and poultry, aquatic products, and  fruits was inversely associated with HAS, and participants in the highest tertile of  staple foods consumption had a higher HAS than those in the lowest tertile. HAS was  inversely associated with good self-reported life quality and positively associated  with bad life quality. In conclusion, food consumption may influence the aging  process, and adherence to a diverse diet is associated with a healthier aging  process in elderly people.","2021-06","2021-08-16 22:44:53","2021-08-18 22:42:30","","1787-1787","","6","13","","Nutrients","","","","","","","","eng","","","","","","","PMID: 34073820  PMCID: PMC8225052","","","","Aged; Humans; Middle Aged; Cognition; Female; Male; Aging; Diet; Aged, 80 and over; Nutritional Status; Quality of Life; Feeding Behavior; Prospective Studies; Analysis of Variance; Multivariate Analysis; Chi Square Test; Descriptive Statistics; Human; *Healthy Aging; *Diet; China; cognition; comorbidity; dietary diversity; Fruit; healthy aging; Meat; Nutrition Surveys; physical functional limitation; psychological stress; Self Report; Stress, Psychological/epidemiology; Healthy Aging; Comorbidity; Middle Age; Data Analysis Software; Food Intake; Logistic Regression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9V6QJG9H","journalArticle","2021","Bartoli, Massimo; Canessa, Nicola; Cipriani, Giuseppina Elena; Cappa, Stefano F.; Amanzio, Martina","The Role of Neuropsychological Factors in Perceived Threat of SARS-CoV-2 in Healthy Ageing.","International journal of environmental research and public health","","1660-4601 1661-7827","10.3390/ijerph18115847","","The COVID-19 pandemic is known to increase older adults' vulnerability to adverse outcomes. Alongside increased physical frailty, anxiety symptoms associated with the  risk of SARS-CoV-2 contagion appear to represent its most prominent 'sequelae'. The  attentional and linguistic resources required for decoding virus-related information  may also influence the perceived threat of contagion. However, the possible role of  neuropsychogeriatric factors on the latter dimension has never been assessed in a  longitudinal study on the older population. To fill this gap, 50 healthy cognitively  preserved older adults underwent a neuropsychological and physical frailty  assessment before the pandemic (T0). Subsequently, they agreed to be interviewed and  re-assessed during the lockdown (T1) and immediately after it (T2) through a  longitudinal one-year study. Perceived threat of SARS-CoV-2 at T2 was predicted both  by baseline anxiety and frailty scores, and by decreased performance in information  processing speed and language comprehension tests. While confirming the joint role  of frailty and anxiety, a moderation/interaction model showed that each of them was  sufficient, at its highest level, to support the maximum degree of perceived threat  of contagion. The contribution of neuropsychological factors to perceived threat of  SARS-CoV-2 highlights their importance of tailoring information campaigns addressed  to older people.","2021-05-29","2021-08-16 22:44:53","2021-08-16 22:44:53","","","","11","18","","Int J Environ Res Public Health","","","","","","","","eng","","","","","","","PMID: 34072431  PMCID: PMC8198099","","","","Aged; Humans; Longitudinal Studies; *Healthy Aging; *cognitive functions; *COVID-19; *mood deflections; *normal aging; *perceived threat; *phenotypic frailty model; Communicable Disease Control; Pandemics; SARS-CoV-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IH5UJ5N","journalArticle","2021","Du, Min; Tao, Liyuan; Liu, Min; Liu, Jue","Tourism experiences and the lower risk of mortality in the Chinese elderly: a national cohort study.","BMC public health","","1471-2458","10.1186/s12889-021-11099-8","","BACKGROUND: Cohort studies about the effects of tourism experiences on the risk of death among Chinese older adults are still lacking. We aimed to examine the  association between tourism experiences and mortality in Chinese aged 65 or above.  METHODS: We included 9520 participants aged 65 years or above from the Chinese  Longitudinal Healthy Longevity Survey at baseline in 23 provinces in 2011. They were  followed up in 2014 and 2018. Cox proportional hazards models were used to assess  the association between tourism experiences and the risk of death. RESULTS: Among  9520 participants, 7.85% had at least one tourism experience outside of their local  city/county during the past 2 years. During 35,994.26 person-years of follow-up, in  total 4635 deaths were observed. The crude rate of death was greater in participants  who had no tourism experience than in older travelers (incidence rate: 13.70 versus  5.24 per 100 person-years). Elderly travelers had a significantly lower risk for  all-cause mortality (crude hazard ratio: 0.38, 95% CI: 0.33-0.44) compared with  non-travelers. After adjustment for all covariates, the risk of all-cause mortality  was 27% lower among those with at least one tourism experience than among  non-travelers (adjusted hazard ratio: 0.73, 95% CI: 0.62-0.85). Subgroup analysis  showed that the associations between tourism and the decreased risk of mortality  were stable. CONCLUSIONS: Tourism decreases the risk of mortality in the Chinese  elderly. Tourism should be considered as a modifiable lifestyle factor and an  effective way to reduce mortality and promote longevity and healthy aging.","2021-05-27","2021-08-16 22:44:53","2021-08-18 23:26:01","","996","","1","21","","BMC Public Health","","","","","","","","eng","","","","","","","PMID: 34044805  PMCID: PMC8157616","","","","Aged; Humans; Index Medicus; Risk Factors; Cohort Studies; Longitudinal Studies; Mortality; *Chinese; *Cohort; *Mortality; *Older; *Tourism; China/epidemiology; Proportional Hazards Models; Chinese; China -- epidemiology; Cohort; Older; Tourism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6E972JTB","journalArticle","2021","Pérès, Karine; Zamudio-Rodriguez, Alfonso; Dartigues, Jean-Francois; Amieva, Hélène; Lafitte, Stephane","Prospective pragmatic quasi-experimental study to assess the impact and effectiveness of an innovative large-scale public health intervention to foster  healthy ageing in place: the SoBeezy program protocol.","BMJ open","","2044-6055","10.1136/bmjopen-2020-043082","","INTRODUCTION: With the accelerating pace of ageing, healthy ageing has become a major challenge for all societies worldwide. Based on that Healthy Ageing concept  proposed by the WHO, the SoBeezy intervention has been designed through an older  person-centred and integrated approach. The programme creates the environments that  maximise functional ability to enable people to be and do what they value and to  stay at home in best possible conditions. METHODS AND ANALYSIS: Five levers are  targeted: tackling loneliness, restoring feeling of usefulness, finding solutions to  face material daily life difficulties, promoting social participation and combating  digital divide. Concretely, the SoBeezy programme relies on: (1) a digital  intelligent platform available on smartphone, tablet and computer, but also on a  voice assistant specifically developed for people with digital divide; (2) a large  solidarity network which potentially relies on everyone's engagement through a  participatory intergenerational approach, where the older persons themselves are not  only service receivers but also potential contributors; (3) an engagement of local  partners and stakeholders (citizens, associations, artisans and professionals).  Organised as a hub, the system connects all the resources of a territory and  provides to the older person the best solution to meet his demand. Through a mixed,  qualitative and quantitative (before/after analyses and compared to controls)  approach, the research programme will assess the impact and effectiveness on healthy  ageing, the technical usage, the mechanisms of the intervention and conditions of  transferability and scalability. ETHICS AND DISSEMINATION: Inserm Ethics Committee  and the Comité Éthique et Scientifique pour les Recherches, les Études et les  Évaluations dans le domaine de la Santé approved this research and collected data  will be deposited with a suitable data archive.","2021-04-29","2021-08-16 22:44:53","2021-08-16 22:44:53","","e043082","","4","11","","BMJ Open","","","","","","","","eng","© Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.","","","","","","PMID: 33926977  PMCID: PMC8094369","","","","Aged; Humans; Aged, 80 and over; Prospective Studies; *epidemiology; *Healthy Aging; *public health; *geriatric medicine; Public Health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUZLEIPI","journalArticle","2021","Wu, B.; Lyu, Y. B.; Zhou, J. H.; Wei, Y.; Zhao, F.; Chen, C.; Li, C. C.; Qu, Y. L.; Ji, S. S.; Lu, F.; Liu, Y. C.; Gu, H.; Song, H. C.; Tan, Q. Y.; Zhang, M. Y.; Cao, Z. J.; Shi, X. M.","[A cohort study on plasma uric acid levels and the risk of type 2 diabetes mellitus among the oldest old in longevity areas of China].","Zhonghua yi xue za zhi","","0376-2491","10.3760/cma.j.cn112137-20201221-03409","","Objective: To investigate the effect of plasma uric acid level on the incident risk of type 2 diabetes mellitus (T2DM) among the oldest old (those aged ≥80 years). Methods: Participants were recruited from the Healthy Aging and Biomarkers Cohort Study (HABCS), which conducted a baseline survey in 2008-2009 and follow-up of 3 times in 2011-2012, 2014, and 2017-2018, respectively. A total of 2 213 oldest old were enrolled in this study. The general demographic, socioeconomic, lifestyle and disease data of the oldest old were collected, and physical measurements were made for the oldest old. Fasting venous blood was collected for uric acid and blood glucose detection. Information on the incident and death of T2DM were collected through the follow-up. Cox proportional hazard regression model was used to explore the association of hyperuricemia and plasma uric acid level with the incidence of T2DM. Restricted cubic spline (RCS) function was used to explore the dose-response relationship of plasma uric acid levels with the risk of T2DM. Results: The age of participants was (93.2±7.6) years old, and 66.7% of the participants (1 475) were female. The plasma uric acid level at baseline was (289.1±88.0)μmol/L, and the prevalence of hyperuricemia was 13.3% (294 cases). During 9 years of cumulative follow-up of 7 471 person-years (average of 3.38 years for each), 122 new cases of T2DM occurred and the incidence density was 1 632.98/105 person year. Cox proportional hazards regression analysis showed that per 10μmol/L increase in plasma uric acid level, the risk of T2DM increased by 1.1% [HR (95%CI): 1.011 (1.004, 1.017)]. Compared with the participants with the lowest quintile of plasma uric acid (Q1), the risk of diabetes increased by 20.7 % among the oldest old with uric acid in the highest quintile (Q5) [HR (95%CI):1.207 (1.029, 1.416)]. The risk of T2DM was 19.2% higher in the hyperuricemia group than that in the oldest old with normal plasma uric acid [HR (95%CI): 1.192 (1.033, 1.377)]. RCS function showed that the risk of T2DM increased with the increase in plasma uric acid levels in a nonlinear dose-response relationship (P=0.016). Conclusion: The incident risk of T2DM increases with the elevates of plasma uric acid levels in the oldest old.","2021-04-27","2021-08-16 22:44:53","2021-08-18 19:13:08","","1171-1177","","16","101","","Zhonghua Yi Xue Za Zhi","","","","","","","","chi","","","","","","","Place: China PMID: 33902249","","","","Aged; Humans; Index Medicus; Risk Factors; Female; Male; Aged, 80 and over; Cohort Studies; Incidence; Longevity; China/epidemiology; *Diabetes Mellitus, Type 2/epidemiology; *Uric Acid; Plasma; China -- epidemiology; 268B43MJ25; Diabetes Mellitus, Type 2 -- epidemiology; Uric Acid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
