Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
765AJYVT,journalArticle,2020,"Pandey, Nikita; Darin-Mattsson, Alexander; Nilsen, Charlotta",Working conditions mediate the association between social class and physical function in older age in Sweden: a prospective cohort study.,BMC public health,,1471-2458,10.1186/s12889-020-09431-9,,"Background: Global demographics are changing as societies all over the world are aging. This puts focus on maintaining functional ability and independence into older age. Individuals from lower social classes are at greater risk of developing limitations in physical function later in life. In this study, we investigated the mediating role of working conditions in the association between occupation-based social class and physical function measured as self-reported mobility limitations and objectively measured physical impairment in older age.Methods: Two Swedish surveys, linked at the individual level, were used (n = 676-814 depending on the outcome). Follow-up time was 20-24 years. Multiple logistic regression analyses were performed with adjustments for age, sex, level of education, mobility, and health problems at baseline. This was followed by analyses of the size of the mediating effect of working conditions.Results: Working conditions seem to mediate 35-74% of the association between social class and physical impairment in older age. The pattern of mediation was primarily driven by passive jobs, i.e., low psychological demands and low control, among blue-collar workers. Working conditions did not mediate the association between social class and self-reported mobility limitations in older age.Conclusions: The results of this study indicate that working conditions are important in combating the social gradient in healthy aging, contributing to the evidence regarding the magnitude of impact exerted by both the physical and psychosocial work environment separately and in conjunction.",04/09/2020,19/08/2021 00:54,23/08/2021 22:29,,1360,,1,20,,BMC Public Health,,,,,,,,eng,,,,,,,PMID: 32887580  PMCID: PMC7487473,"<p>Accession Number: 145514392. Language: English. Entry Date: In Process. Revision Date: 20210214. Publication Type: journal article. Journal Subset: Biomedical; Europe; Public Health; UK & Ireland. Instrumentation: Work Environment Scale (WES) (Moos et al). Grant Information: 2019-01141//Forskningsrådet om Hälsa, Arbetsliv och Välfärd/. NLM UID: 100968562.</p>",,,Aged; Humans; Middle Aged; Female; Male; Aging; Educational Status; Longitudinal Studies; Prospective Studies; Activities of Daily Living; Social Class; Scales; Self Report; *Social Class; Sweden; *Mobility Limitation; *Occupations; Healthy aging; Longitudinal; Mobility; Older age; Physical function; Physical impairment; Physical working conditions; Psychosocial working conditions; Social class; Workplace; Middle Age; Symptoms; Occupations and Professions; Work Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVK98EPM,journalArticle,2021,"Martin, Annika A.; Horn, Andrea B.; Allemand, Mathias","Within-Person Associations Between Attachment Security, Need Satisfaction and Psychological Adjustment in Daily Life of Older Adults.","The journals of gerontology. Series B, Psychological sciences and social sciences",,1758-5368 1079-5014,10.1093/geronb/gbz148,,"OBJECTIVES: Little is known about how attachment processes manifest within older adults in daily life and how these processes are associated with daily psychological  adjustment. This study examined the within-person associations between states of  attachment security and psychological adjustment. It is expected that this  association is mediated by higher levels of satisfied needs in daily life. METHODS:  Microlongitudinal self-report data were collected in a sample of 136 older adults  ranged in age from 60 to 90 years (ageM = 70.45 years) across 10 days with daily  morning and afternoon measurement occasions. RESULTS: Three main findings from  multilevel analyses emerged. First, older adults showed significant within-person  variation in attachment security, satisfaction of the needs for autonomy and  competence, and psychological adjustment over time. Second, attachment security was  positively associated with psychological adjustment within individuals. Third, both  satisfaction of the needs for autonomy and competence mediated the within-person  association between attachment security and psychological adjustment. DISCUSSION:  The results suggest that attachment security is associated with the experience of  autonomy and competence in daily life of older adults which in turn is related with  better psychological adjustment.",01/01/2021,19/08/2021 00:54,23/08/2021 22:29,,56-66,,1,76,,J Gerontol B Psychol Sci Soc Sci,,,,,,,,eng,"© The Author(s) 2019. Published by Oxford University Press on behalf of The Gerontological Society of America. All rights reserved. For permissions, please  e-mail: journals.permissions@oup.com.",,,,,,Place: United States PMID: 31711236,<p>Accession Number: 147794169. Language: English. Entry Date: 20201230. Revision Date: 20210107. Publication Type: Article; research; tables/charts. Journal Subset: Allied Health; Biomedical; Peer Reviewed; USA. NLM UID: 9508483.</p>,,,"Aged; Humans; Middle Aged; Interpersonal Relations; Female; Male; Aged, 80 and over; Geriatric Assessment; Longitudinal Studies; Adaptation, Psychological; Prospective Studies; Walking; Multivariate Analysis; Personal Satisfaction; Aged, 80 and Over; Human; Self Report; Healthy Aging; *Healthy aging; Aging/*psychology; *Personal Satisfaction; *Emotional Adjustment; *Ambulatory assessment; *Attachment security; *Daily life; *Object Attachment; *Personal Autonomy; *Psychological needs; *Self Efficacy; *Within-person mediation analyses; Social Adjustment; Middle Age; Correlational Studies; Quality of Life -- In Old Age; Activities of Daily Living -- In Old Age; Attachment Behavior; Human Needs (Physiology); Human Needs (Psychology); Relational Autonomy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHABXV3K,journalArticle,2021,"Zhang, Shenghao; Neupert, Shevaun D","Within- and Between-Person Relationships Among Health, Awareness of Aging, and Control Beliefs: A Microlongitudinal Study.",Journals of Gerontology Series B: Psychological Sciences & Social Sciences,,1079-5014,10.1093/geronb/gbaa180,http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=150091645&site=ehost-live,"Objective Control beliefs are bidirectionally related to physical and cognitive health, and control beliefs are associated with awareness of aging (subjective age and awareness of age-related change [AARC]), but it is unclear how these processes unfold within persons over time. We examine these relationships from both between- and within-person perspectives. Methods: Older adults (n = 116) ranging in age from 60 to 90 (M = 64.71) completed a 9-day daily diary study online, resulting in 743 total days. Participants reported their sociodemographic characteristics on Day 1 and physical symptoms, memory failures, felt age, daily AARC gain and loss experiences, and control beliefs on Days 2–9. Results Within-person deviations from one's typical awareness of aging (AARC losses, AARC gains, and subjective age) were associated with fluctuations in control beliefs. Multilevel mediation results showed that between-person AARC losses mediated the relationship between health (both physical symptoms and memory failures) and control beliefs, whereas both within- and between-person control beliefs mediated the relationship between physical health and AARC losses. Model fit comparisons showed that models with control beliefs mediating health and awareness of aging fit better than models with awareness of aging mediating health and control beliefs. Discussion Our findings suggest that within-person physical and cognitive health indicators were associated with awareness of aging indirectly through control beliefs. Although between-person differences in AARC losses may link health and control beliefs, our results suggest that a more consistent pattern involves control beliefs linking health and awareness of aging.",2021-05,19/08/2021 00:54,23/08/2021 22:29,,858-870,,5,76,,Journals of Gerontology Series B: Psychological Sciences & Social Sciences,,,,,,,,,,,CINAHL with Full Text,,EBSCOhost,,Publisher: Oxford University Press / USA,<p>Accession Number: 150091645. Language: English. Entry Date: 20210506. Revision Date: 20210506. Publication Type: Article; research; tables/charts. Journal Subset: Allied Health; Biomedical; Peer Reviewed; USA. NLM UID: 9508483.</p>,,,"Aged; Cognition; Aging; Health Behavior; Memory; Prospective Studies; Aged, 80 and Over; Human; Healthy Aging; Middle Age; Gerontologic Care; Health Beliefs; Attitude to Aging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USMAIU2Z,journalArticle,2017,"Matos, Marta; Bernardes, Sónia F.; Goubert, Liesbet",Why and when social support predicts older adults' pain-related disability: a longitudinal study.,Pain,,1872-6623 0304-3959,10.1097/j.pain.0000000000000990,,"Pain-related social support has been shown to be directly associated with pain-related disability, depending on whether it promotes functional autonomy or dependence. However, previous studies mostly relied on cross-sectional methods, precluding conclusions on the temporal relationship between pain-related social support and disability. Also, research on the behavioral and psychological processes that account for such a relationship is scarce. Therefore, this study aimed at investigating the following longitudinally: (1) direct effects of social support for functional autonomy/dependence on pain-related disability, (2) mediating role of physical functioning, pain-related self-efficacy, and fear, and (3) whether pain duration and pain intensity moderate such mediating processes. A total of 168 older adults (Mage = 78.3; SDage = 8.7) participated in a 3-month prospective design, with 3 moments of measurement, with a 6-week lag between them. Participants completed the Formal Social Support for Autonomy and Dependence in Pain Inventory, the Brief Pain Inventory, the 36-SF Health Survey, behavioral tasks from the Senior Fitness Test, the Pain Self-Efficacy Questionnaire, and the Tampa Scale for Kinesiophobia. Moderated mediation analyses showed that formal social support for functional dependence (T1) predicted an increase in pain-related disability (T3), that was mediated by self-reported physical functioning (T2) and by pain-related self-efficacy (T2) at short to moderate pain duration and at low to moderate pain intensity, but not at higher levels. Findings emphasized that social support for functional dependence is a risk factor for pain-related disability and uncovered the ""why"" and ""when"" of this relationship. Implications for the design of social support interventions aiming at promoting older adults' healthy aging despite chronic pain are drawn.",2017-10,19/08/2021 00:54,23/08/2021 22:29,,1915-1924,,10,158,,Pain,,,,,,,,eng,,,,,,,Place: United States PMID: 28930922,<p>Accession Number: 125663166. Language: English. Entry Date: 20180526. Revision Date: 20180611. Publication Type: journal article; research; tables/charts. Journal Subset: Biomedical; Continental Europe; Europe; Peer Reviewed. Instrumentation: Brief Pain Inventory (BPI); Tampa Scale for Kinesiophobia (TSK); Pain Self-Efficacy Questionnaire; Formal Social Support for Autonomy and Dependence in Pain Inventory; 36-SF Health Survey. NLM UID: 7508686.</p>,,,"Aged; Humans; Middle Aged; Female; Male; Aged, 80 and over; Surveys and Questionnaires; Longitudinal Studies; Prospective Studies; Self Efficacy; Aged, 80 and Over; Human; Scales; *Social Support; Self Report; Fear; Disability Evaluation; Fear/psychology; Disabled Persons/*psychology; Chronic Pain/*complications/*psychology/rehabilitation; Negotiating; Pain Measurement; Statistics, Nonparametric; Questionnaires; Middle Age; Support, Psychosocial; Self-Efficacy; Nonparametric Statistics; Brief Pain Inventory; Chronic Pain -- Complications; Chronic Pain -- Psychosocial Factors; Chronic Pain -- Rehabilitation; Disabled -- Psychosocial Factors; Negotiation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QT6EDGVZ,journalArticle,2006,"Bowling, Ann; Iliffe, Steve",Which model of successful ageing should be used? Baseline findings from a British longitudinal survey of ageing.,Age & Ageing,,0002-0729,10.1093/ageing/afl100,,"BACKGROUND: there is increasing interest in how to age 'successfully' and in reaching consensus over its definition. OBJECTIVE: to assess different models of  successful ageing, using a British longitudinal survey of ageing in 2000-1. SETTING:  community settings in Britain. METHODS: five models of successful ageing were tested  on a British cross-sectional population survey of 999 people aged 65+. The models  were biomedical, broader biomedical, social, psychological and lay based. RESULTS:  the lay model emerged as the strongest. Respondents who were classified as  successfully aged with this model, compared with those not successfully aged, had  over five times the odds of rating their quality of life (QoL) as good rather than  not good [odds ratio (OR) = 5.493, 95% confidence interval (95% CI) = 2.655-11.364].  CONCLUSION: the lay-based, more multidimensional, model of successful ageing  predicted perceived QoL more powerfully than unidimensional models and should be  used to evaluate the outcomes of health promotion in older populations.",2006-11,19/08/2021 00:54,23/08/2021 22:29,,607-614,,6,35,,Age Ageing,,,,,,,,eng,,,,,,,Place: England PMID: 16951427,<p>Accession Number: 106007890. Language: English. Entry Date: 20080229. Revision Date: 20200708. Publication Type: Journal Article; research. Journal Subset: Biomedical; Europe; Peer Reviewed; UK & Ireland. NLM UID: 0375655.</p>,,,"Aged; Humans; Female; Male; Social Environment; Aging; Aged, 80 and over; Health Status; Longitudinal Studies; Mental Health; Quality of Life; Prospective Studies; Models, Theoretical; Aged, 80 and Over; Human; *Aging; *Quality of Life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W7LWL8VV,journalArticle,2010,"Gerstorf, Denis; Ram, Nilam; Goebel, Jan; Schupp, Jürgen; Lindenberger, Ulman; Wagner, Gert G.",Where people live and die makes a difference: Individual and geographic disparities in well-being progression at the end of life.,Psychology and aging,,1939-1498 0882-7974,10.1037/a0019574,,"Life-span psychological research has long been interested in the contextual embeddedness of individual development. To examine whether and how regional variables relate to between-person disparities in the progression of late-life well-being, we applied three-level growth curve models to 24-year longitudinal data from deceased participants of the German Socio-Economic Panel Study (N = 3,427; age at death = 18 to 101 years). Results indicated steep declines in well-being with impending death, with some 8% of the between-person differences in both level and decline of well-being reflecting between-county differences. Exploratory analyses revealed that individuals living and dying in less affluent counties reported lower late-life well-being, controlling for key individual predictors, including age at death, gender, education, and household income. The regional variables examined did not directly relate to well-being change but were found to moderate (e.g., amplify) the disparities in change attributed to individual variables. Our results suggest that resource-poor counties provide relatively less fertile grounds for successful aging until the end of life and may serve to exacerbate disparities. We conclude that examinations of how individual and residential characteristics interact can further our understanding of individual psychological outcomes and suggest routes for future inquiry.",2010-09,19/08/2021 00:54,23/08/2021 22:29,,661-676,,3,25,,Psychol Aging,,,,,,,,eng,"(c) 2010 APA, all rights reserved.",,,,,,PMID: 20677887  PMCID: PMC2980782,<p>Accession Number: 104925068. Language: English. Entry Date: 20110520. Revision Date: 20200708. Publication Type: journal article; research. Journal Subset: Biomedical; Blind Peer Reviewed; Editorial Board Reviewed; Peer Reviewed; USA. Grant Information: RC1 AG035645-01/AG/NIA NIH HHS/United States. NLM UID: 8904079.</p>,,,"Aged; Humans; Middle Aged; Female; Male; Social Environment; Adolescent; Adult; Aged, 80 and over; Health Status; Longitudinal Studies; Socioeconomic Factors; Longevity; Prospective Studies; Personal Satisfaction; Germany; Individuality; Aged, 80 and Over; Human; Aging -- Psychosocial Factors; *Health Status Disparities; Young Adult; Aging/*psychology; *Personal Satisfaction; Quality of Life/*psychology; Residence Characteristics; *Social Environment; Models, Statistical; Geography; Middle Age; Adolescence; Quality of Life -- Psychosocial Factors; Geographic Factors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73S2PZ8L,journalArticle,2017,"Liu, Li-Fan; Su, Pei-Fang",What factors influence healthy aging? A person-centered approach among older adults in Taiwan.,Geriatrics & gerontology international,,1447-0594,10.1111/ggi.12774,,"AIM: The present study aimed to identify the health profiles of older adults by using latent class analysis to investigate health heterogeneity and to determine  what factors predicted healthy aging among an oldest-old sample cohort that was  followed up for 14 years in Taiwan. METHODS: Data were drawn from five waves  (carried out in 1993, 1996, 1999, 2003 and 2007) of the Taiwan Longitudinal Study on  Aging to examine the changes in health heterogeneity in a nationally representative  oldest-old cohort of Taiwanese. Overall, data from a total of 11 145 observations of  3155 older adults were considered. The influential factors predicting health changes  were analyzed by using a generalized estimating equation. RESULTS: The results  showed that four health profiles were identified among the aging population observed  in the Taiwan Longitudinal Study on Aging. With increasing age, the combined effects  of the physical functioning, cognitive and emotional health, and comorbidities of  older adults significantly impact their health changes. Apart from health  deteriorating with age and sex disparities, educational and economic status, health  behaviors, and social participation at the individual level were found to be the  robust factors in predicting healthy aging. CONCLUSIONS: In considering what factors  impact healthy aging, we suggest that a person-centered approach would be useful and  critical for policy makers to understand the compositions of health profiles and the  influencing factors in view of a life-course perspective. Based on the factors  identified as influencing healthy aging at the individual level, it is imperative  from a policy-making perspective to maximize opportunities for healthy aging.  Geriatr Gerontol Int 2017; 17: 697-707.",2017-05,19/08/2021 00:54,23/08/2021 22:29,,697-707,,5,17,,Geriatr Gerontol Int,,,,,,,,eng,© 2016 Japan Geriatrics Society.,,,,,,Place: Japan PMID: 27240705,<p>Accession Number: 123051401. Language: English. Entry Date: 20170525. Revision Date: 20180809. Publication Type: Article; research; tables/charts. Journal Subset: Asia; Biomedical; Peer Reviewed. NLM UID: 101135738.</p>,,,"Aged; Humans; Middle Aged; Female; Male; Aged, 80 and over; Follow-Up Studies; Geriatric Assessment; Socioeconomic Factors; Time Factors; Prospective Studies; Age Factors; Population Surveillance; Human; Retrospective Studies; healthy aging; Taiwan; *Health Status; Healthy Aging/*physiology; Disability Evaluation; Taiwan/epidemiology; Morbidity/trends; *Mental Health; Health Surveys/*methods; *Forecasting; Chronic Disease/*epidemiology/rehabilitation; elderly people; health heterogeneity; Health Services Needs and Demand/*organization & administration; person-centered; Aging -- Evaluation; Individualized Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSD7M8P2,journalArticle,2014,"Wolff, Julia K.; Warner, Lisa M.; Ziegelmann, Jochen P.; Wurm, Susanne",What do targeting positive views on ageing add to a physical activity intervention in older adults? Results from a randomised controlled trial.,Psychology & Health,,0887-0446,10.1080/08870446.2014.896464,http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=103949131&site=ehost-live,"Objective: Physical activity is a key factor for healthy ageing, yet many older people lead a sedentary lifestyle. Traditional physical activity interventions do not consider the specific needs and views of older adults. As views on ageing are known to be related to health behaviours, the current study evaluates the effectiveness of prompting positive views on ageing within a physical activity intervention. Design: Randomised controlled trial with three groups aged 65+: Intervention for physical activity with ‘views-on-ageing’-component (n = 101; IGVoA), and without ‘views-on-ageing’-component (n = 30; IG), and active control intervention for volunteering (n = 103; CG). Main outcome measures: Attitudes towards older adults and physical activity were assessed five weeks before intervention, two weeks, six weeks and 8.5 months after the intervention. Results: Compared to the IG and CG, positive attitudes towards older adults increased in the IGVoA after the intervention. For IGVoA, the indirect intervention effect on change in activity via change in attitudes towards older adults was reliable. Conclusion: A ‘views-on-ageing’-component within a physical activity intervention affects change in physical activity via change in views on ageing. Views on ageing are a promising intervention technique to be incorporated into future physical activity interventions for older adults.",2014-08,19/08/2021 00:54,23/08/2021 22:29,,915-932,,8,29,,Psychology & Health,,,,,,,,,,,CINAHL with Full Text,,EBSCOhost,,"Place: Oxfordshire, Publisher: Routledge",<p>Accession Number: 103949131. Language: English. Entry Date: 20140522. Revision Date: 20200708. Publication Type: Journal Article; research; tables/charts; randomized controlled trial. Journal Subset: Biomedical; Double Blind Peer Reviewed; Editorial Board Reviewed; Europe; Expert Peer Reviewed; Peer Reviewed; UK & Ireland. Special Interest: Psychiatry/Psychology. NLM UID: 8807983.</p>,,,"Aged; Female; Male; Aging; Prospective Studies; Confidence Intervals; Germany; Chi Square Test; Descriptive Statistics; Health Behavior -- In Old Age; Human; Multiple Regression; Stereotyping; Questionnaires; Interviews; Coefficient Alpha; Data Analysis Software; Attitude to Aging; Physical Activity -- In Old Age; Randomized Controlled Trials; Hypothesis; Life Style, Sedentary -- In Old Age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DN5JVLFX,journalArticle,2009,Danyuthasilpe C; Amnatsatsue K; Tanasugarn C; Kerdmongkol P; Steckler AB,Ways of healthy aging: a case study of elderly people in a Northern Thai village.,Health Promotion International,,0957-4824,10.1093/heapro/dap038,http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=105262973&site=ehost-live,,2009-12,19/08/2021 00:54,23/08/2021 22:29,,394-403,,4,24,,Health Promotion International,,,,,,,,,,,CINAHL with Full Text,,EBSCOhost,,Publisher: Oxford University Press / USA,<p>Accession Number: 105262973. Language: English. Entry Date: 20100205. Revision Date: 20200708. Publication Type: Journal Article; case study; research; tables/charts. Journal Subset: Europe; Health Promotion/Education; Peer Reviewed; Public Health; UK & Ireland. NLM UID: 9008939.</p>,,,"Aged; Exercise; Life Style; Female; Male; Aging; Health Status; Health Behavior; Culture; Social Behavior; Prospective Studies; Aged, 80 and Over; Descriptive Statistics; Focus Groups; Spirituality; Semi-Structured Interview; Food Habits; Thematic Analysis; Thailand; Dependency (Psychology); Ethnographic Research; Field Notes; Fieldwork -- Classification; Participant Observation; Rural Areas -- Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4JY7MPI,journalArticle,2016,"Hooper, Lee; Bunn, Diane K.; Abdelhamid, Asmaa; Gillings, Rachel; Jennings, Amy; Maas, Katie; Millar, Sophie; Twomlow, Elizabeth; Hunter, Paul R.; Shepstone, Lee; Potter, John F.; Fairweather-Tait, Susan J.",Water-loss (intracellular) dehydration assessed using urinary tests: how well do they work? Diagnostic accuracy in older people.,American Journal of Clinical Nutrition,,0002-9165,10.3945/ajcn.115.119925,http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=116655648&site=ehost-live,"Background: Water-loss dehydration (hypertonic, hyperosmotic, or intracellular dehydration) is due to insufficient fluid intake and is distinct from hypovolemia due to excess fluid losses. Water-loss dehydration is associated with poor health outcomes such as disability and mortality in older people. Urine specific gravity (USG), urine color, and urine osmolality have been widely advocated for screening for dehydration in older adults. Objective: We assessed the diagnostic accuracy of urinary measures to screen for water-loss dehydration in older people. Design: This was a diagnostic accuracy study of people aged ≥65 y taking part in the DRIE (Dehydration Recognition In our Elders; living in long-term care) or NU-AGE (Dietary Strategies for Healthy Ageing in Europe; living in the community) studies. The reference standard was serum osmolality, and index tests included USG, urine color, urine osmolality, urine cloudiness, additional dipstick measures, ability to provide a urine sample, and the volume of a random urine sample. Minimum useful diagnostic accuracy was set at sensitivity and specificity ≥70% or a receiver operating characteristic plot area under the curve ≥0.70. Results: DRIE participants (women: 67%; mean age: 86 y; n = 162) had more limited cognitive and functional abilities than did NUAGE participants (women: 64%; mean age: 70 y; n = 151). Nineteen percent of DRIE participants and 22% of NU-AGE participants were dehydrated (serum osmolality >300 mOsm/kg). Neither USG nor any other potential urinary tests were usefully diagnostic for water-loss dehydration. Conclusions: Although USG, urine color, and urinary osmolality have been widely advocated for screening for dehydration in older adults, we show, in the largest study to date to our knowledge, that their diagnostic accuracy is too low to be useful, and these measures should not be used to indicate hydration status in older people (either alone or as part of a wider tranche of tests). There is a need to develop simple, inexpensive, and noninvasive tools for the assessment of dehydration in older people. The DRIE study was registered at www.researchregister.org.uk as 122273. The NU-AGE trial was registered at clinicialtrials.gov as NCT01754012.",2016,19/08/2021 00:54,23/08/2021 22:29,,121-131,,1,104,,American Journal of Clinical Nutrition,,,,,,,,,,,CINAHL with Full Text,,EBSCOhost,,Publisher: Oxford University Press / USA,"<p>Accession Number: 116655648. Language: English. Entry Date: 20160712. Revision Date: 20190516. Publication Type: Article; glossary; research; tables/charts; randomized controlled trial. Journal Subset: Allied Health; Biomedical; Blind Peer Reviewed; Editorial Board Reviewed; Expert Peer Reviewed; Peer Reviewed; USA. Special Interest: Gerontologic Care. Instrumentation: Instrumental Activities of Daily Living Scale (IADL); Mini-Mental Status Examination (MMSE) (Folstein et al); Katz Index of Activities of Daily Living; Barthel Index. Grant Information: Supported in part by NHS England (Dehydration 001), in part by theNational Institute for Health Research fellowship programme (NIHR-CDF-2011-04-025; career development fellowship to LH for the Dehydration Recognition In our Elders study), and in part by the European Union’s Seventh Framework Program (grant agreement 266486; “NU-AGE: New dietary strategies addressing the specific needs of the elderly population for healthy ageing in Europe”).. NLM UID: 0376027.</p>",,,"Aged; Female; Male; Neuropsychological Tests; Sensitivity and Specificity; Prospective Studies; Confidence Intervals; Odds Ratio; United Kingdom; Reproducibility of Results; Aged, 80 and Over; Cross Sectional Studies; Descriptive Statistics; Funding Source; Geriatric Functional Assessment; Human; Validation Studies; ROC Curve; Clinical Assessment Tools; Interviews; Data Analysis Software; Barthel Index; Instrument Validation; Random Assignment; Randomized Controlled Trials; Body Mass Index -- In Old Age; Cognition -- In Old Age; Intervention Trials; Geriatric Nutrition; Activities of Daily Living -- In Old Age; Interrater Reliability; Color -- In Old Age; Dehydration -- Diagnosis -- In Old Age; Fluid-Electrolyte Balance -- In Old Age; Osmolar Concentration -- Evaluation -- In Old Age; Refractometry; Serum -- Analysis -- In Old Age; Specific Gravity -- Evaluation -- In Old Age; Urinalysis -- In Old Age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
