titulo,autor,co_autores,ano_pub,DOI,revista
Chronic inflammation as a determinant of future aging phenotypes.,Akbaraly,"Akbaraly, Tasnime N.; Hamer, Mark; Ferrie, Jane E.; Lowe, Gordon; Batty, G. David; Hagger-Johnson, Gareth; Singh-Manoux, Archana; Shipley, Martin J.; Kivimäki, Mika",2013,10.1503/cmaj.122072,CMAJ: Canadian Medical Association Journal
150 minutes of vigorous physical activity per week predicts survival and successful ageing: a population-based 11-year longitudinal study of 12 201 older Australian men.,Almeida,"Almeida, Osvaldo P; Khan, Karim M; Hankey, Graeme J; Yeap, Bu B; Golledge, Jonathan; Flicker, Leon",2014,10.1136/bjsports-2013-092814,British Journal of Sports Medicine
Successful aging in the Australian Longitudinal Study of Aging: Applying the MacArthur model cross-nationally,Andrews,"Andrews, Gary; Clark, Michael; Luszcz, Mary",2002,10.1111/1540-4560.00288,Journal of Social Issues
"Inflammation, But Not Telomere Length, Predicts Successful Ageing at Extreme Old Age: A Longitudinal Study of Semi-supercentenarians.",Arai,"Arai, Yasumichi; Martin-Ruiz, Carmen M.; Takayama, Michiyo; Abe, Yukiko; Takebayashi, Toru; Koyasu, Shigeo; Suematsu, Makoto; Hirose, Nobuyoshi; von Zglinicki, Thomas",2015,10.1016/j.ebiom.2015.07.029,EBioMedicine
Factors associated with healthy aging in septuagenarian and nonagenarian Mexican adults.,Arroyo-Quiroz,"Arroyo-Quiroz, Carmen; Brunauer, Regina; Alavez, Silvestre",2020,10.1016/j.maturitas.2019.10.008,Maturitas
"A Healthy Dietary Pattern at Midlife, Combined with a Regulated Energy Intake, Is Related to Increased Odds for Healthy Aging.",Assmann,"Assmann, Karen E.; Lassale, Camille; Andreeva, Valentina A.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2015,10.3945/jn.115.210740,The Journal of nutrition
Association of diet quality and physical activity with healthy ageing in the French NutriNet-Santé cohort.,Assmann,"Assmann, Karen E.; Adjibade, Moufidath; Adriouch, Solia; Andreeva, Valentina A.; Julia, Chantal; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2019,10.1017/S0007114519000898,The British journal of nutrition
Dietary scores at midlife and healthy ageing in a French prospective cohort.,Assmann,"Assmann, Karen E.; Andreeva, Valentina A.; Camilleri, Géraldine M.; Verger, Eric O.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2016,10.1017/S0007114516002233,The British journal of nutrition
Late-life factors associated with healthy aging in older men.,Bell,"Bell, Christina L.; Chen, Randi; Masaki, Kamal; Yee, Priscilla; He, Qimei; Grove, John; Donlon, Timothy; Curb, J. David; Willcox, D. Craig; Poon, Leonard W.; Willcox, Bradley J.",2014,10.1111/jgs.12796,Journal of the American Geriatrics Society
Outdoor adventure and successful ageing.,Boyes,"Boyes, Mike",2013,10.1017/S0144686X12000165,Ageing & Society
Tracing the origins of successful aging: the role of childhood conditions and social inequality in explaining later life health.,Brandt,"Brandt, Martina; Deindl, Christian; Hank, Karsten",2012,10.1016/j.socscimed.2012.01.004,Social science & medicine (1982)
Successful Aging: The Contribution of Early-Life and Midlife Risk Factors,Britton,"Britton, Annie; Shipley, Martin; Singh-Manoux, Archana; Marmot, Michael G.",2008,,Journal of the American Geriatrics Society
Can maintaining cognitive function at 65 years old predict successful ageing 6 years later? The PROOF study.,Castro-Lionard,"Castro-Lionard, Karine; Thomas-Antérion, Catherine; Crawford-Achour, Emilie; Rouch, Isabelle; Trombert-Paviot, Béatrice; Barthélémy, Jean-Claude; Laurent, Bernard; Roche, Frédéric; Gonthier, Régis",2011,10.1093/ageing/afq174,Age and ageing
Transitioning From Successful Aging: A Life Course Approach.,Cooney,"Cooney, Teresa M.; Curl, Angela L.",2019,10.1177/0898264317737892,Journal of aging and health
