"titulo","edad_45_Carlos","edad_45_Adrian","factores_ee_Carlos","factores_ee_Adrian","reporte_rr_Carlos","reporte_rr_Adrian","reporte_or_Carlos","reporte_or_Adrian","envejecimiento_es_Carlos","envejecimiento_es_Adrian","cohorte_Carlos","cohorte_Adrian","estudio_ee_Carlos","estudio_ee_Adrian","accion_Carlos","accion_Adrian","comentario_Carlos","comentario_Adrian","accion_2_Carlos","accion_2_Adrian","agree"
"150 minutes of vigorous physical activity per week predicts survival and successful ageing: a population-based 11-year longitudinal study of 12 201 older Australian men.",1,1,1,1,1,2,2,2,1,1,1,1,2,2,NA,1,NA,"reporta HR",1,1,"agree"
"A 3-year follow-up study on cardiovascular disease and mortality in older people with intellectual disabilities.",1,1,2,2,2,2,2,2,2,2,3,1,2,1,NA,2,NA,"Utiliza Densidad de incidencia",0,0,"agree"
"A Healthy Dietary Pattern at Midlife, Combined with a Regulated Energy Intake, Is Related to Increased Odds for Healthy Aging.",1,1,1,1,2,2,1,1,1,1,3,1,2,1,NA,1,NA,NA,1,1,"agree"
"A Longitudinal Examination of the Effects of Early Influences and Midlife Characteristics on Successful Aging.",1,1,1,1,2,2,1,1,1,1,1,1,2,1,3,1,"Se pone en duda su metodolog�a.",NA,1,1,"agree"
"A longitudinal study of the impact of chronic psychological stress on health-related quality of life and clinical biomarkers: protocol for the Australian Healthy Aging  of Women Study.",1,1,2,2,2,3,2,3,2,2,1,1,2,1,NA,2,NA,"Muejres",0,0,"agree"
"A model of successful ageing in British populations.",1,1,1,1,3,2,3,2,1,1,3,1,2,2,3,1,"No queda clara la relaci�n.",NA,1,1,"agree"
"A National Longitudinal Study of Partnered Sex, Relationship Quality, and Mental Health Among Older Adults.",1,1,2,2,2,3,2,3,2,2,1,1,1,2,NA,2,NA,"Sólo estudia la salud mental y su relación con la actividad sexual",0,0,"agree"
"A novel phospholipid delivery system of curcumin (Meriva®) preserves muscular mass in healthy aging subjects.",1,1,2,2,2,2,2,2,2,1,4,2,2,2,NA,2,NA,"Valora un suplente alimenticio",0,0,"agree"
"A prospective cohort study of health behavior profiles after age 50 and mortality risk.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Sólo incluye factores físicos",0,0,"agree"
"A salutogenic inquiry into positive aging - a longitudinal analysis.",1,1,1,1,3,3,3,3,1,1,1,1,2,2,NA,1,"Positive aging",NA,1,1,"agree"
"A single measurement of serum phylloquinone is an adequate indicator of long-term phylloquinone exposure in healthy older adults.",2,1,2,2,2,2,2,2,2,2,4,1,1,2,NA,2,NA,NA,0,0,"agree"
"Abstract 12233:  Low Cardiovascular Risk in Midlife Predicts Active and Healthy Aging",1,1,1,1,2,2,1,1,1,1,2,1,2,1,NA,1,NA,"Sólo hombres",1,1,"agree"
"Abstract P019:  Family History of Cardiovascular Disease is Associated With Cognitive Function:  The Emory Healthy Aging Study.  Abstract",1,1,2,1,2,2,2,3,2,2,4,2,1,1,NA,1,NA,NA,0,0,"agree"
"Accelerated epigenetic age and cognitive decline among urban-dwelling adults.",1,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,NA,NA,0,0,"agree"
"Accelerating cortical thinning: unique to dementia or universal in aging?",2,1,2,2,2,3,2,3,2,2,1,1,2,2,NA,2,NA,NA,0,0,"agree"
"Adherence to a Mediterranean diet is associated with lower prevalence of osteoarthritis: Data from the osteoarthritis initiative.",1,1,2,2,2,2,2,1,2,2,2,2,2,2,NA,2,NA,NA,0,0,"agree"
"Adherence to Dietary Guidelines and Successful Aging Over 10 Years.",1,1,1,1,2,2,1,1,1,1,2,1,2,2,NA,2,NA,"Considero que mejor incluyas el artículo de donde se tomo la definición, muy probablemente ya esta aquí incluido",1,1,"agree"
"Adiposity Without Obesity: Associations with Osteoporosis, Sarcopenia, and Falls in the Healthy Ageing Initiative Cohort Study.",1,1,2,2,2,2,2,1,2,2,4,2,1,1,NA,2,NA,NA,0,0,"agree"
