titulo,edad_45_Carlos,edad_45_Adrian,factores_ee_Carlos,factores_ee_Adrian,reporte_rr_Carlos,reporte_rr_Adrian,reporte_or_Carlos,reporte_or_Adrian,envejecimiento_es_Carlos,envejecimiento_es_Adrian,cohorte_Carlos,cohorte_Adrian,estudio_ee_Carlos,estudio_ee_Adrian,accion_Carlos,accion_Adrian,comentario_Carlos,comentario_Adrian,accion_2_Carlos,accion_2_Adrian,agree
Adaptation to stroke using a model of successful aging.,1,1,2,1,2,2,2,2,1,1,3,1,2,2,NA,1,Usan un modelo de EE (SOC) para predecir recuperación,NA,0,1,disagree
"Adult height, dietary patterns, and healthy aging.",1,1,1,2,2,2,1,1,1,2,1,1,2,1,NA,2,NA,NA,1,0,disagree
Age-Related Alterations in Endocrine Markers Do Not Match Changes in Psychosocial Measures: Findings From the Men's Health 40+ Longitudinal Study.,1,1,1,2,3,2,3,2,1,2,1,1,2,1,NA,2,NA,NA,1,0,disagree
Approaches in methodology for population-based longitudinal study on neuroprotective model for healthy longevity (TUA) among Malaysian Older Adults.,1,1,1,2,2,3,2,3,1,1,3,1,1,2,3,1,Helahty Longevity,"No especifica como tal una definición de envejecimiento exitoso, sólo si cumplen los cuestionarios y de acuerdo al puntaje.",1,0,disagree
Association Between Hospital Readmission and Acute and Sustained Delays in Functional Recovery During 18 Months After Elective Surgery: The Successful Aging  after Elective Surgery Study.,1,1,2,1,2,1,2,2,2,1,2,1,1,2,NA,1,NA,NA,0,1,disagree
Association between nighttime sleep and successful aging among older Chinese people.,1,1,1,1,2,2,1,1,1,1,4,1,2,1,NA,1,NA,Usan modelo de Rowe y Kahn,0,1,disagree
Association between northern Manhattan study global vascular risk score and successful aging.,1,1,1,2,2,2,1,1,1,1,2,1,2,1,NA,2,NA,Utiliza parámetros clínicos para definir envejecimiento exitoso,1,0,disagree
Association between vision and hearing impairment and successful aging over five years.,1,1,1,2,2,2,1,1,1,1,3,1,2,1,NA,1,NA,"no utiliza un modelo como tal, pero incluye estado cognitivo. depresión y factores físicos+",1,0,disagree
Association of diet quality and physical activity with healthy ageing in the French NutriNet-Santé cohort.,1,2,1,1,1,1,2,2,1,1,3,1,2,1,NA,1,NA,Modelo rowe y Kanh,1,0,disagree
Associations of overweight and metabolic health with successful aging: 32-year follow-up of the Helsinki Businessmen Study.,1,1,1,2,2,2,1,2,1,1,3,1,2,1,NA,1,NA,"Estudia la relación que tiene el estilo de vida con la mortalidad y no menciona necesariamente separados como los modelos de rowe y kan, pero creo que podría ayudar.",1,0,disagree
