titulo,co_autores,ano_pub,DOI,estudio
"""""Tough Times Have Become Good Times: Resilience in Older Adults With a Low Socioeconomic Position.","Kok, Almar A L; Nes, Fenna van; Deeg, Dorly J H; Widdershoven, Guy; Huisman, Martijn",2018,10.1093/geront/gny007,
"10 Years of SABE Study: background, methodology and organization of the study.","Lebrão, Maria Lúcia; Duarte, Yeda Aparecida de Oliveira; Santos, Jair Lício Ferreira; Silva, Nilza Nunes da",2019,10.1590/1980-549720180002.supl.2,
"23-Year Trends in Life Expectancy in Good and Poor Physical and Cognitive Health at Age 65 Years in the Netherlands, 1993-2016.","Deeg, Dorly J. H.; Comijs, Hannie C.; Hoogendijk, Emiel O.; van der Noordt, Maaike; Huisman, Martijn",2018,10.2105/AJPH.2018.304685,
41DIFFERENCES IN PHYSICAL PERFORMANCE ACROSS A MULTI-ETHNIC COHORT OF OLDER ADULTS:  INSIGHTS FROM THE HEALTHY AGING RESEARCH INITIATIVE.  Abstract,"Mossop, H.; Granic, A.; Sayer, A. A.; Engstrom, G.; Davies, K.; Dodds, R.; Galvin, J.; Ouslander, J. G.; Tappen, R.",2017,10.1093/ageing/afx110.41,
A cohort study on plasma uric acid levels and the risk of type 2 diabetes mellitus among the oldest old in longevity areas of China.,"Wu, B.; Lyu, Y. B.; Zhou, J. H.; Wei, Y.; Zhao, F.; Chen, C.; Li, C. C.; Qu, Y. L.; Ji, S. S.; Lu, F.; Liu, Y. C.; Gu, H.; Song, H. C.; Tan, Q. Y.; Zhang, M. Y.; Cao, Z. J.; Shi, X. M.",2021,10.3760/cma.j.cn112137-20201221-03409,
A Comparative Study of Pathological Outcomes in The University of Manchester Longitudinal Study of Cognition in Normal Healthy Old Age and Brains for Dementia  Research Cohorts.,"Robinson, Andrew C.; Chew-Graham, Stephen; Davidson, Yvonne S.; Horan, Michael A.; Roncaroli, Federico; Minshull, James; du Plessis, Daniel; Pal, Piyali; Payton, Antony; Pendleton, Neil; Mann, David M. A.",2020,10.3233/JAD-190580,
A comprehensive analysis of factors related to lung function in older adults: Cross-sectional findings from the Canadian Longitudinal Study on Aging.,"McHugh, Jenna; Duong, MyLinh; Ma, Jinhui; Dales, Robert E; Bassim, Carol W; Verschoor, Chris P",2020,10.1016/j.rmed.2020.106157,
A decade of changes in brain volume and cognition.,"Aljondi, Rowa; Szoeke, Cassandra; Steward, Chris; Yates, Paul; Desmond, Patricia",2019,10.1007/s11682-018-9887-z,
A life course approach to healthy ageing: the HALCyon programme.,"Kuh, D; Cooper, R; Richards, M; Gale, C; von Zglinicki, T; Guralnik, J",2012,10.1016/j.puhe.2012.01.025,
A Longitudinal Assessment of Diet Quality and Risks Associated with Malnutrition in Socioeconomic and Racially Diverse Adults.,"Fanelli Kuczmarski, Marie; Stave Shupe, Emily; Pohlig, Ryan T.; Rawal, Rita; Zonderman, Alan B.; Evans, Michele K.",2019,10.3390/nu11092046,
