"characteristics","OR","lower","upper","author_year","or_rr"
"no. iadl problems",1.79,1.34,2.4,"Andrews 2002","OR"
"domestic chores (adelaide)",0.98,0.97,1,"Andrews 2002","OR"
"household maintenance (adelaide)",0.98,0.97,0.99,"Andrews 2002","OR"
"service to others (adelaide)",1,0.99,1.01,"Andrews 2002","OR"
"social activities (adelaide)",1,0.99,1.01,"Andrews 2002","OR"
"moderate exercise",0.83,0.58,1.11,"Andrews 2002","OR"
"vigorous exercise",0.47,0.21,0.96,"Andrews 2002","OR"
"able to do tandem stand",0.55,0.38,0.77,"Andrews 2002","OR"
"time to walk 8 ft.",1.67,1.32,2.1,"Andrews 2002","OR"
"grip strength",0.98,0.92,1.05,"Andrews 2002","OR"
"fair/poor self-rated health",2.2,1.47,3.31,"Andrews 2002","OR"
"gets sufficient sleep",0.74,0.45,1.2,"Andrews 2002","OR"
"snores",0.81,0.59,1.12,"Andrews 2002","OR"
