"characteristics","OR","lower","upper","author_year","or_rr"
"depression",1.05,1.02,1.09,"Andrews (2002)","OR"
"morale",0.95,0.89,1.02,"Andrews (2002)","OR"
"self-esteem",0.98,0.95,1.02,"Andrews (2002)","OR"
"control",0.99,0.96,1.03,"Andrews (2002)","OR"
"picture immed. (memory)",0.93,0.83,1.05,"Andrews (2002)","OR"
"picture delay (memory)",1,0.88,1.14,"Andrews (2002)","OR"
"symbol (cog)",0.89,0.79,0.99,"Andrews (2002)","OR"
"speed (cog)",0.96,0.94,0.99,"Andrews (2002)","OR"
"naming (cog)",0.91,0.79,1.06,"Andrews (2002)","OR"
"nart errors",1.05,0.98,1.04,"Andrews (2002)","OR"
"similarities (cog)",1.06,0.82,1.37,"Andrews (2002)","OR"
