"characteristics","OR","lower","upper","author_year","or_rr"
"age",1.09,1.05,1.14,"Arroyo-Quiroz (2020)","OR"
"female",0.85,0.61,1.19,"Arroyo-Quiroz (2020)","OR"
"schooling",1.02,0.99,1.04,"Arroyo-Quiroz (2020)","OR"
"married",1.1,0.79,1.53,"Arroyo-Quiroz (2020)","OR"
"follow-up",0.04,1.38,0,"Arroyo-Quiroz (2020)","OR"
"depression",0.72,0.5,1.04,"Arroyo-Quiroz (2020)","OR"
"low-risk drinker",2.99,0.8,11.26,"Arroyo-Quiroz (2020)","OR"
"smoker (ever)",0.18,0.03,1.43,"Arroyo-Quiroz (2020)","OR"
"exercise",1.59,1.07,2.35,"Arroyo-Quiroz (2020)","OR"
"overweight",1.17,0.7,1.97,"Arroyo-Quiroz (2020)","OR"
"obesity",0.6,0.4,0.9,"Arroyo-Quiroz (2020)","OR"
"underweight",1.46,0.99,2.14,"Arroyo-Quiroz (2020)","OR"
"long-lived mother",0.87,0.6,1.25,"Arroyo-Quiroz (2020)","OR"
"long-lived father",0.97,0.68,1.39,"Arroyo-Quiroz (2020)","OR"
