"characteristics","OR","lower","upper","author_year","or_rr"
"age",1.03,1.03,1.04,"Arroyo-Quiroz (2020)","HR"
"female",0.92,0.87,0.97,"Arroyo-Quiroz (2020)","HR"
"schooling",0.96,0.96,0.97,"Arroyo-Quiroz (2020)","HR"
"married",0.92,0.87,0.98,"Arroyo-Quiroz (2020)","HR"
"low-risk drinker",0.69,0.63,0.77,"Arroyo-Quiroz (2020)","HR"
"heavy drinker",0.73,0.51,0.87,"Arroyo-Quiroz (2020)","HR"
"former smoker",1.19,1.11,1.27,"Arroyo-Quiroz (2020)","HR"
"current smoker",0.96,0.89,1.04,"Arroyo-Quiroz (2020)","HR"
"exercise",0.85,0.8,0.91,"Arroyo-Quiroz (2020)","HR"
"depression",1.23,1.15,1.31,"Arroyo-Quiroz (2020)","HR"
"overweight and obesity",1.22,1.15,1.29,"Arroyo-Quiroz (2020)","HR"
"low weight",0.96,0.88,1.05,"Arroyo-Quiroz (2020)","HR"
"long-lived mother",0.95,0.88,1.01,"Arroyo-Quiroz (2020)","HR"
"long-lived father",0.92,0.86,0.98,"Arroyo-Quiroz (2020)","HR"
