"characteristics","OR","lower","upper","author_year","or_rr"
"bmi <19.0",0.64,0.31,1.31,"Bell (2014)","OR"
"bmi =25.0",1.69,1.26,2.28,"Bell (2014)","OR"
"waist–hip ratio >0.99",1.49,1.01,2.21,"Bell (2014)","OR"
"forced expiratory volume in 1 second <2.1 l",1.12,0.85,1.48,"Bell (2014)","OR"
"walk speed ≤0.75 m/sa",1.27,0.97,1.66,"Bell (2014)","OR"
"grip strength <33 kg",1.08,0.83,1.42,"Bell (2014)","OR"
"systolic blood pressure <120",1.02,0.59,1.78,"Bell (2014)","OR"
"systolic blood pressure >160",1.57,1.16,2.13,"Bell (2014)","OR"
"seated diastolic blood pressure >90 mmhg",1.86,1.29,2.69,"Bell (2014)","OR"
"hypertension",1.13,0.84,1.51,"Bell (2014)","OR"
"cognitive abilities screening instrument (74-81.9)",2.75,1.87,4.05,"Bell (2014)","OR"
"triglycerides ≥150 mg/dl",1.16,0.89,1.53,"Bell (2014)","OR"
"high-density lipoprotein cholesterol <40 mg/dl",1.37,0.95,1.96,"Bell (2014)","OR"
"glucose ≥126 mg/dl",2.49,1.38,4.46,"Bell (2014)","OR"
"insulin ≥20 lu/ml",1.54,1.06,2.25,"Bell (2014)","OR"
"fibrinogen >351 mg/dl",2.09,1.38,3.17,"Bell (2014)","OR"
"white blood cell count >6,000 cells/ll",1.56,1.18,2.05,"Bell (2014)","OR"
"never (alcohol)",1.1,0.81,1.5,"Bell (2014)","OR"
">15 onces/month (alcohol)",1.04,0.73,1.47,"Bell (2014)","OR"
"physical activity index ≤30.4",0.98,0.75,1.28,"Bell (2014)","OR"
"blocks walked per day <12",1.25,0.95,1.64,"Bell (2014)","OR"
"education <12 years",1.69,1.29,2.2,"Bell (2014)","OR"
"unmarried in late life",1.16,0.8,1.68,"Bell (2014)","OR"
"ankle–brachial index <0.9",2.31,1.26,4.25,"Bell (2014)","OR"
"center for epidemiologic studies depression 11-items (>9)",1.54,0.9,2.63,"Bell (2014)","OR"
"fair or poor self-rated health",1.41,1.02,1.96,"Bell (2014)","OR"
"hemoglobin, g/dl <13",0.85,0.4,1.81,"Bell (2014)","OR"
"hemoglobin, g/dl >15",1.21,0.92,1.59,"Bell (2014)","OR"
"past smoker",1.03,0.78,1.35,"Bell (2014)","OR"
"current smoker",1.99,1.06,3.75,"Bell (2014)","OR"
