"characteristics","OR","lower","upper","author_year","or_rr"
"high employment grade",7.7,4.9,12.1,"Britton (2008)","OR"
"medium employment grade",3.6,2.4,5.5,"Britton (2008)","OR"
"father social class nonmanual",1.8,1.3,2.5,"Britton (2008)","OR"
"age left education >18",2.3,1.6,3.3,"Britton (2008)","OR"
"age left education 17-18",1.8,1.2,2.6,"Britton (2008)","OR"
"height tertile tallest",2.9,1.9,4.2,"Britton (2008)","OR"
"height tertile middle",1.8,1.2,2.7,"Britton (2008)","OR"
"never smoker",2.4,1.5,3.9,"Britton (2008)","OR"
"ex-smoker",2.6,1.5,4.5,"Britton (2008)","OR"
"0 alcohol, units/wk",0.3,0.2,0.5,"Britton (2008)","OR"
"1–14 alcohol, units/wk",0.8,0.5,1.1,"Britton (2008)","OR"
"no poor diet",1.5,1.1,2.1,"Britton (2008)","OR"
"vigorous physical activity",2.2,1.5,3.4,"Britton (2008)","OR"
"moderate physical activity",1.7,1.1,2.6,"Britton (2008)","OR"
"high decision latitude",2.7,1.9,3.9,"Britton (2008)","OR"
"medium decision latitude",2,1.4,2.8,"Britton (2008)","OR"
"low job demands",0.6,0.4,0.8,"Britton (2008)","OR"
"medium job demands",1,0.7,1.4,"Britton (2008)","OR"
"high work support",1.2,0.8,1.7,"Britton (2008)","OR"
"medium work support",1.1,0.8,1.5,"Britton (2008)","OR"
"high network index",1,0.7,1.4,"Britton (2008)","OR"
"medium network index",1,0.7,1.4,"Britton (2008)","OR"
