"characteristics","OR","lower","upper","author_year","or_rr"
"high employment grade",7.1,3.4,14.6,"Britton (2008)","OR"
"medium employment grade",2.8,1.3,5.8,"Britton (2008)","OR"
"father social class nonmanual",1.1,0.9,1.4,"Britton (2008)","OR"
"age left education >18",2.1,1.6,2.8,"Britton (2008)","OR"
"age left education 17-18",1.6,1.2,2.1,"Britton (2008)","OR"
"height tertile tallest",1.9,1.5,2.4,"Britton (2008)","OR"
"height tertile middle",1.5,1.2,2,"Britton (2008)","OR"
"never smoker",3.2,2.1,4.7,"Britton (2008)","OR"
"ex-smoker",2.6,1.8,4,"Britton (2008)","OR"
"0 alcohol, units/wk",1,0.7,1.4,"Britton (2008)","OR"
"1–14 alcohol, units/wk",1,0.8,1.2,"Britton (2008)","OR"
"no poor diet",1.6,1.3,1.9,"Britton (2008)","OR"
"vigorous physical activity",2.4,1.5,3.7,"Britton (2008)","OR"
"moderate physical activity",1.8,1.1,2.8,"Britton (2008)","OR"
"high decision latitude",1.9,1.4,2.5,"Britton (2008)","OR"
"medium decision latitude",1.4,1.1,1.9,"Britton (2008)","OR"
"low job demands",0.9,0.7,1.1,"Britton (2008)","OR"
"medium job demands",1,0.8,1.3,"Britton (2008)","OR"
"high work support",1.4,1.1,1.7,"Britton (2008)","OR"
"medium work support",1.1,0.9,1.4,"Britton (2008)","OR"
"high network index",1.1,0.9,1.4,"Britton (2008)","OR"
"medium network index",1,0.8,1.3,"Britton (2008)","OR"
