"characteristics","OR","lower","upper","author_year","or_rr"
"age, 75–79 yrs",1.1,0.19,6.23,"Gureje (2014)","OR"
"age, 70–74 yrs",1.4,0.36,4.66,"Gureje (2014)","OR"
"age, 65–69 yrs",2.8,0.95,8.54,"Gureje (2014)","OR"
"economic status, high-average (ref. highest)",0.5,0.25,1.15,"Gureje (2014)","OR"
"economic status, low-average (ref. highest)",0.6,0.23,1.34,"Gureje (2014)","OR"
"economic status, low (ref. highest)",0.3,0.02,0.77,"Gureje (2014)","OR"
"never smoked",4.7,1.61,14.52,"Gureje (2014)","OR"
"never used alcohol",0.5,0.1,2.73,"Gureje (2014)","OR"
"education yrs, 7–12 (ref. >=13)",1.1,0.14,8.25,"Gureje (2014)","OR"
"education yrs, 1–6 (ref. >=13)",0.8,0.15,4.65,"Gureje (2014)","OR"
"education yrs, 0 (ref. >=13)",0.8,0.1,7.07,"Gureje (2014)","OR"
"residence, semi-urban (ref. urban)",1.1,0.53,2.28,"Gureje (2014)","OR"
"residence, rural (ref. urban)",0.7,0.24,1.83,"Gureje (2014)","OR"
"physical activity, moderate (ref. low)",0.9,0.31,2.42,"Gureje (2014)","OR"
"physical activity, vigorous (ref. low)",0.8,0.27,2.46,"Gureje (2014)","OR"
"self-reported health, good or excellent (ref. fair or poor)",0.8,1.22,21.8,"Gureje (2014)","OR"
"contact with friends",5.2,1.22,21.8,"Gureje (2014)","OR"
"participation in household activities",0.6,0.1,3.73,"Gureje (2014)","OR"
"participation in community activities",24,2.78,206.65,"Gureje (2014)","OR"
