"characteristics","OR","lower","upper","author_year","or_rr"
"age, 75–79 yrs",2.9,0.83,10.16,"Gureje (2014)","OR"
"age, 70–74 yrs",2.1,0.61,9.67,"Gureje (2014)","OR"
"age, 65–69 yrs",4.4,1.65,11.89,"Gureje (2014)","OR"
"male",1.4,0.71,2.88,"Gureje (2014)","OR"
"economic status, high-average (ref. highest)",0.6,0.29,1.37,"Gureje (2014)","OR"
"economic status, low-average (ref. highest)",0.4,0.21,0.92,"Gureje (2014)","OR"
"economic status, low (ref. highest)",0.4,0.21,0.75,"Gureje (2014)","OR"
"never smoked",1.6,0.71,3.46,"Gureje (2014)","OR"
"never used alcohol",1,0.51,2.1,"Gureje (2014)","OR"
"education yrs, 7–12 (ref. >=13)",1.2,0.2,7.68,"Gureje (2014)","OR"
"education yrs, 1–6 (ref. >=13)",1.1,0.19,5.92,"Gureje (2014)","OR"
"education yrs, 0 (ref. >=13)",1.2,0.22,6.11,"Gureje (2014)","OR"
"residence, semi-urban (ref. urban)",1.4,0.67,2.7,"Gureje (2014)","OR"
"residence, rural (ref. urban)",0.8,0.36,1.72,"Gureje (2014)","OR"
"physical activity, moderate (ref. low)",1,0.35,2.61,"Gureje (2014)","OR"
"physical activity, vigorous (ref. low)",1,0.4,3.21,"Gureje (2014)","OR"
"self-reported health, good or excellent (ref. fair or poor)",1.1,0.1,11.3,"Gureje (2014)","OR"
"contact with friends",15.7,3.69,66.51,"Gureje (2014)","OR"
"participation in household activities",0.8,0.23,2.88,"Gureje (2014)","OR"
"participation in community activities",45.3,5.89,348.89,"Gureje (2014)","OR"
