"characteristics","OR","lower","upper","author_year","or_rr"
"age in years",0.8,0.75,0.85,"Kaplan (2008)","OR"
"female",2.04,1.1,3.79,"Kaplan (2008)","OR"
"not married",0.74,0.4,1.35,"Kaplan (2008)","OR"
">=high school",1.7,0.95,3.06,"Kaplan (2008)","OR"
"household income, $15k–$29,999 (ref. <$15k)",1.36,0.6,3.05,"Kaplan (2008)","OR"
"household income, >$29,999 (ref. <$15k)",1.58,0.66,3.75,"Kaplan (2008)","OR"
"perceived social support",0.93,0.64,1.36,"Kaplan (2008)","OR"
"social involvement.",1.07,0.97,1.19,"Kaplan (2008)","OR"
"sense of coherence",1.03,1,1.06,"Kaplan (2008)","OR"
"mastery",0.96,0.89,1.03,"Kaplan (2008)","OR"
"self-esteem",1.1,0.99,1.22,"Kaplan (2008)","OR"
"psychological distress (k6)",0.81,0.72,0.91,"Kaplan (2008)","OR"
"never smoked",4.35,2.44,7.69,"Kaplan (2008)","OR"
"moderate alcohol use",2.22,1.25,3.95,"Kaplan (2008)","OR"
"physically active",1.3,0.72,2.32,"Kaplan (2008)","OR"
"normal weight (bmi ¼ 18.5–24.9 kg/m2)",0.89,0.49,1.61,"Kaplan (2008)","OR"
"absence of life-threatening illness",1.89,0.97,3.69,"Kaplan (2008)","OR"
"absence of chronic illness",1.74,0.95,3.16,"Kaplan (2008)","OR"
"functional limitations",0.4,0.19,0.86,"Kaplan (2008)","OR"
"self-rated health",1.76,1.24,2.5,"Kaplan (2008)","OR"
"number of medications used",1.03,0.82,1.3,"Kaplan (2008)","OR"
