"characteristics","OR","lower","upper","author_year","or_rr"
"age in years",0.74,0.69,0.79,"Kaplan (2008)","OR"
"female",0.82,0.39,1.75,"Kaplan (2008)","OR"
"not married",0.5,0.25,1,"Kaplan (2008)","OR"
">=high school",1.37,0.71,2.66,"Kaplan (2008)","OR"
"household income, $15k–$29,999 (ref. <$15k)",1.9,0.76,4.78,"Kaplan (2008)","OR"
"household income, >$29,999 (ref. <$15k)",2.86,1.08,7.69,"Kaplan (2008)","OR"
"perceived social support",1.1,0.76,1.59,"Kaplan (2008)","OR"
"social involvement.",0.98,0.88,1.09,"Kaplan (2008)","OR"
"sense of coherence",1.03,0.99,1.07,"Kaplan (2008)","OR"
"mastery",0.98,0.89,1.08,"Kaplan (2008)","OR"
"self-esteem",1.11,0.98,1.25,"Kaplan (2008)","OR"
"psychological distress (k6)",0.78,0.67,0.91,"Kaplan (2008)","OR"
"never smoked",3.03,1.49,6.25,"Kaplan (2008)","OR"
"moderate alcohol use",2.87,1.3,6.34,"Kaplan (2008)","OR"
"physically active",1.46,0.77,2.78,"Kaplan (2008)","OR"
"normal weight (bmi ¼ 18.5–24.9 kg/m2)",1.07,0.56,2.06,"Kaplan (2008)","OR"
"absence of life-threatening illness",2.46,1.21,4.99,"Kaplan (2008)","OR"
"absence of chronic illness",2.09,1.03,4.22,"Kaplan (2008)","OR"
"functional limitations",0.46,0.21,1,"Kaplan (2008)","OR"
"self-rated health",1.65,1.14,2.39,"Kaplan (2008)","OR"
"number of medications used",1.23,0.95,1.59,"Kaplan (2008)","OR"
