fecha,phys_factor,psic_factor,status,data_collected,titulo ,autor ,co_autores ,ano_pub,DOI,selec_representatividad,selec_no_exp,selec_exposicion,selec_evento,comp_edad,comp_otro,event_eval,event_durac,event_seg,pais,muestra,genero ,pop,edad_base,edad_rango,anos_seg,waves,marco_conceptual ,percent_ee_es,percent_m_ee_es,percent_h_ee_es,operalizacion_1,operalizacion_2,operalizacion_3,operalizacion_4,operalizacion_5,operalizacion_6,operalizacion_7,operalizacion_8,operalizacion_9,operalizacion_10,or_rr,or_rr_ajustado,crudo_ajustado
08/11/2021,,,paused ,,Chronic inflammation as a determinant of future aging phenotypes.,Akbaraly,"Akbaraly, Tasnime N.; Hamer, Mark; Ferrie, Jane E.; Lowe, Gordon; Batty, G. David; Hagger-Johnson, Gareth; Singh-Manoux, Archana; Shipley, Martin J.; Kivimäki, Mika",2013,10.1503/cmaj.122072,,,,,,,,,,,,,,,,,,,,,,free  of major chronic disease,Optimal physical functioning,Optimal mental functioning,Optimal cognitive  functioning,,,,,,,,,
08/11/2021,,,paused ,,150 minutes of vigorous physical activity per week predicts survival and successful ageing: a population-based 11-year longitudinal study of 12 201 older Australian men.,Almeida,"Almeida, Osvaldo P; Khan, Karim M; Hankey, Graeme J; Yeap, Bu B; Golledge, Jonathan; Flicker, Leon",2014,10.1136/bjsports-2013-092814,1,1,2,1,1,1,3,1,3,Australia ,"3,276",H 100%,Metropolitan poulation,NA ,65 - 85,9.8 - 12.6,1,Healthy aging,28.66,NA ,NA,No depression ,No cognitive impariment,Functional limitation ADL IADL ,,,,,,,,2,,
10/11/2021,,1,collected ,1,Successful aging in the Australian Longitudinal Study of Aging: Applying the MacArthur model cross-nationally,Andrews,"Andrews, Gary; Clark, Michael; Luszcz, Mary",2002,10.1111/1540-4560.00288,1,1,2,2,1,1,3,1,1,Australia ,"1,403",H 55.45%,Community dwelling,> 70,NA,8,2,Successful aging MacArthur studies,37,32.6,38.8,No cognitive impairment ,Delayed recall,No disability ADL,No disability physical performance and gross mobility ,Able to hold semi-tandem balance,Able to stand from seated position,,,,,1,,
08/11/2021,,,removed,,"Inflammation, But Not Telomere Length, Predicts Successful Ageing at Extreme Old Age: A Longitudinal Study of Semi-supercentenarians.",Arai,"Arai, Yasumichi; Martin-Ruiz, Carmen M.; Takayama, Michiyo; Abe, Yukiko; Takebayashi, Toru; Koyasu, Shigeo; Suematsu, Makoto; Hirose, Nobuyoshi; von Zglinicki, Thomas",2015,10.1016/j.ebiom.2015.07.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,,1,collected ,1,Factors associated with healthy aging in septuagenarian and nonagenarian Mexican adults.,Arroyo-Quiroz,"Arroyo-Quiroz, Carmen; Brunauer, Regina; Alavez, Silvestre",2020,10.1016/j.maturitas.2019.10.008,1,1,2,1,1,1,1,1,1,Mexico,"4,220",M 55.1%,Metropolitan poulation,56,50 - 63,14,4,Rowe & Kahn - Healthy aging,57.8,NA ,NA,Reaching age 77,major chronic disease,maintenance of physical function ,,,,,,,,3,3,
10/11/2021,,1,collected ,1,Factors associated with healthy aging in septuagenarian and nonagenarian Mexican adults.,Arroyo-Quiroz,"Arroyo-Quiroz, Carmen; Brunauer, Regina; Alavez, Silvestre",2020,10.1016/j.maturitas.2019.10.008,1,1,2,1,1,1,1,1,1,Mexico,"1,845",M 47.1 %,Metropolitan poulation,63.18,63 - 77,14,4,Rowe & Kahn - Healthy aging,57.8,NA ,NA,Reaching age 77,major chronic disease,maintenance of physical function ,,,,,,,,1,3,
10/11/2021,,1,collected ,1,Factors associated with healthy aging in septuagenarian and nonagenarian Mexican adults.,Arroyo-Quiroz,"Arroyo-Quiroz, Carmen; Brunauer, Regina; Alavez, Silvestre",2020,10.1016/j.maturitas.2019.10.008,1,1,2,1,1,1,1,1,1,Mexico,,M 47.1 %,Metropolitan poulation,,> 90,14,4,Rowe & Kahn - Healthy aging,57.8,NA ,NA,Reaching age 77,major chronic disease,maintenance of physical function ,,,,,,,,1,3,
16/11/2021,,,paused ,,"A Healthy Dietary Pattern at Midlife, Combined with a Regulated Energy Intake, Is Related to Increased Odds for Healthy Aging.",Assmann,"Assmann, Karen E.; Lassale, Camille; Andreeva, Valentina A.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2015,10.3945/jn.115.210740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2021,,,paused ,,Association Between Adherence to the Mediterranean Diet at Midlife and Healthy Aging in a Cohort of French Adults,Assmann,"Assmann, Karen E.; Adjibade, Moufidath; Andreeva, Valentina A.; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2018,10.1093/gerona/glx066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2021,,,paused ,,Association of diet quality and physical activity with healthy ageing in the French NutriNet-Santé cohort.,Assmann,"Assmann, Karen E.; Adjibade, Moufidath; Adriouch, Solia; Andreeva, Valentina A.; Julia, Chantal; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2019,10.1017/S0007114519000898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2021,,,paused ,,Dietary scores at midlife and healthy ageing in a French prospective cohort.,Assmann,"Assmann, Karen E.; Andreeva, Valentina A.; Camilleri, Géraldine M.; Verger, Eric O.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2016,10.1017/S0007114516002233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2021,,1,collected ,1,Late-life factors associated with healthy aging in older men.,Bell,"Bell, Christina L.; Chen, Randi; Masaki, Kamal; Yee, Priscilla; He, Qimei; Grove, John; Donlon, Timothy; Curb, J. David; Willcox, D. Craig; Poon, Leonard W.; Willcox, Bradley J.",2014,10.1111/jgs.12796,3,1,2,1,1,2,3,1,2,Hawaii,"1,292",H 100%,Population based of Japan ancestry,75.7,NA,21,1,Rowe & Kahn - Healthy aging,34%,NA,NA,Free of age-related chronic diseases,Free of physical impairment ,Free of cognitive impairment,,,,,,,,1,2,
16/11/2021,,,removed,,Outdoor adventure and successful ageing.,Boyes,"Boyes, Mike",2013,10.1017/S0144686X12000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2021,,,paused ,,Tracing the origins of successful aging: the role of childhood conditions and social inequality in explaining later life health.,Brandt,"Brandt, Martina; Deindl, Christian; Hank, Karsten",2012,10.1016/j.socscimed.2012.01.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2021,,1,collected ,1,Successful Aging: The Contribution of Early-Life and Midlife Risk Factors,Britton,"Britton, Annie; Shipley, Martin; Singh-Manoux, Archana; Marmot, Michael G.",2008,10.1111/j.1532-5415.2008.01740.x,2,1,2,1,1,1,3,1,2,England�,"5,823",H 71%,London-based office workers,> 42,NA,17,7,Successful aging ,13.6,14.6,12.8,Free of major disease,Good physical function,Good mental function,,,,,,,,1,2,
21/12/2021,,,paused ,,Trajectories of ageing well among older Australians: a 16-year longitudinal study.,BROWNING,"BROWNING, COLETTE J.; ENTICOTT, JOANNE C.; THOMAS, SHANE A.; KENDIG, HAL",2018,10.1017/S0144686X17000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,paused ,,"Successful ageing from old to very old: a longitudinal study of 12,432 women from Australia.",Byles,"Byles, Julie E.; Rahman, Md Mijanur; Princehorn, Emily M.; Holliday, Elizabeth G.; Leigh, Lucy; Loxton, Deborah; Beard, John; Kowal, Paul; Jagger, Carol",2019,10.1093/ageing/afz116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,removed,,Can maintaining cognitive function at 65 years old predict successful ageing 6 years later? The PROOF study.,Castro-Lionard,"Castro-Lionard, Karine; Thomas-Antérion, Catherine; Crawford-Achour, Emilie; Rouch, Isabelle; Trombert-Paviot, Béatrice; Barthélémy, Jean-Claude; Laurent, Bernard; Roche, Frédéric; Gonthier, Régis",2011,10.1093/ageing/afq174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,paused ,,Transitioning From Successful Aging: A Life Course Approach.,Cooney,"Cooney, Teresa M.; Curl, Angela L.",2019,10.1177/0898264317737892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,paused ,,Associations of Lifestyle Behaviour and Healthy Ageing in Five Latin American and the Caribbean Countries-A 10/66 Population-Based Cohort Study.,Daskalopoulou,"Daskalopoulou, Christina; Koukounari, Artemis; Ayuso-Mateos, José Luis; Prince, Martin; Prina, A. Matthew",2018,10.3390/nu10111593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,paused ,,The Healthy Aging Index analyzed over 15 years in the general population: The Doetinchem Cohort Study ,Dieteren ,"Charlotte M. Dieterena, Leonard D. Samsonb, Maarten Schipperb, Job van Exela, Werner B.F. Brouwera, W.M. Monique Verschurenb, H. Susan J. Picavet",2020,10.1016/j.ypmed.2020.106193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,removed,,Sociodemographic Factors Associated With Changes in Successful Aging in Spain: A Follow-Up Study.,Dom�nech-Abella,"Domènech-Abella, Joan; Perales, Jaime; Lara, Elvira; Moneta, Maria Victoria; Izquierdo, Ana; Rico-Uribe, Laura Alejandra; Mundó, Jordi; Haro, Josep Maria",2018,10.1177/0898264317714327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,removed,,The impact of socioeconomic status on the association between biomedical and psychosocial well-being and all-cause mortality in older Spanish adults.,Dom�nech-Abella,"Doménech-Abella, Joan; Mundó, Jordi; Moneta, Maria Victoria; Perales, Jaime; Ayuso-Mateos, José Luis; Miret, Marta; Haro, Josep Maria; Olaya, Beatriz",2018,10.1007/s00127-018-1480-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2021,,,removed,,A model of successful ageing in British populations.,Doyle,"Doyle, Yvonne G.; Mc Kee, Martin; Sherriff, Martyn",2012,10.1093/eurpub/ckq132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2021,,1,collected ,1,Sustained personal autonomy: a measure of successful aging.,Ford,Ford AB; Haug MR; Stange KC; Gaines AD; Noekler LS; Jones PK,2000,10.1177/089826430001200402,1,1,2,1,1,1,3,1,2,U.S.,487,M 70.22%,Community residents ,78,NA,2,3,Sustained personal autonomy,20.12,14.62,33.1,Assistance with personal ADLs,Instrumental activities of daily living (IADL),Sustained independence elders,,,,,,,,1,,
23/12/2021,,0,question,,The challenge of maintaining successful aging at 87 years old: the Octabaix study two-year follow-up.,Formiga,"Formiga, Francesc; Ferrer, Assumpta; Alburquerque, Jesus; Fernández-Quevedo, Manuel; Royo, Cristina; Pujol, Ramón",2012,10.1089/rej.2012.1343,,,,,,,,,,Spain ,,,community-dwelling,,,,,,,,,,,,,,,,,,,,,
23/12/2021,,,paused ,,The NonaSantfeliu study. Baseline assessment and ten years of follow-up.,Formiga,"Formiga, Francesc; Ferrer, Assumpta; Lombarte, Inés; Fernández, Coral",2015,10.1016/j.regg.2014.03.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2021,,,paused ,,"Decomposition of Mediterranean Dietary Pattern on Successful Aging, Among Older Adults: A Combined Analysis of Two Epidemiological Studies.",Foscolou,"Foscolou, Alexandra; Koloverou, Efi; Matalas, Antonia-Leda; Tyrovolas, Stefanos; Chrysohoou, Christina; Sidossis, Labros; Rallidis, Loukianos; Panagiotakos, Demosthenes B.",2019,10.1177/0898264318780608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2021,,,paused ,,Adherence to Dietary Guidelines and Successful Aging Over 10 Years.,Gopinath,"Gopinath, Bamini; Russell, Joanna; Kifley, Annette; Flood, Victoria M.; Mitchell, Paul",2016,10.1093/gerona/glv189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2021,,,paused ,,Association Between Carbohydrate Nutrition and Successful Aging Over 10 Years.,Gopinath,"Gopinath, Bamini; Flood, Victoria M.; Kifley, Annette; Louie, Jimmy C. Y.; Mitchell, Paul",2016,10.1093/gerona/glw091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2021,,,paused ,,Association between vision and hearing impairment and successful aging over five years.,Gopinath,"Gopinath, Bamini; Liew, Gerald; Burlutsky, George; McMahon, Catherine M.; Mitchell, Paul",2021,10.1016/j.maturitas.2020.10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2021,,1,collected ,1,Profile and determinants of successful aging in the Ibadan Study of Ageing.,Gureje,"Gureje, Oye; Oladeji, Bibilola D.; Abiona, Taiwo; Chatterji, Somnath",2014,10.1111/jgs.12802,2,1,2,1,1,1,3,1,3,Nigeria ,957,M 61.1%,Community-based,> 65,65 - >80,5,4,Successful aging,7.5,6,8.4,No chronic health condition,Functional Independence,Life Satisfaction,,,,,,,,1,1,2
27/12/2021,,,removed,,Cognitive and non-cognitive factors contributing to the longitudinal identification of successful older adults in the betula study.,Habib,"Habib, Reza; Nyberg, Lars; Nilsson, Lars-Göran",2007,10.1080/13825580600582412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,paused ,,Taking up physical activity in later life and healthy ageing: the English longitudinal study of ageing.,Hamer,"Hamer, Mark; Lavoie, Kim L.; Bacon, Simon L.",2014,10.1136/bjsports-2013-092993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,paused ,,"Dietary quality, lifestyle factors and healthy ageing in Europe: the SENECA study.",Haveman-Nies,Haveman-Nies A; de Groot LCP; van Staveren WA,2003,10.1093/ageing/32.4.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,removed,,"Life and living in advanced age: a cohort study in New Zealand--e Puāwaitanga o Nga Tapuwae Kia Ora Tonu, LiLACS NZ: study protocol.",Hayman,"Hayman, Karen J.; Kerse, Ngaire; Dyall, Lorna; Kepa, Mere; Teh, Ruth; Wham, Carol; Clair, Valerie Wright-St; Wiles, Janine; Keeling, Sally; Connolly, Martin J.; Wilkinson, Tim J.; Moyes, Simon; Broad, Joanna B.; Jatrana, Santosh",2012,10.1186/1471-2318-12-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,paused ,,Diabetes and ageing in the Melbourne Collaborative Cohort Study (MCCS).,Hodge,"Hodge, Allison M.; Flicker, Leon; O'Dea, Kerin; English, Dallas R.; Giles, Graham G.",2013,10.1016/j.diabres.2013.03.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,paused ,,Dietary patterns as predictors of successful ageing.,Hodge,"Hodge, A. M.; O'Dea, K.; English, D. R.; Giles, G. G.; Flicker, L.",2014,10.1007/s12603-013-0405-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,paused ,,Social connectedness and predictors of successful ageing.,Hodge,"Hodge, Allison M.; English, Dallas R.; Giles, Graham G.; Flicker, Leon",2013,10.1016/j.maturitas.2013.05.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,paused ,,Impact of morbidity and life events on successful aging.,Hsu,"Hsu, Hui-Chuan",2011,10.1177/1010539511412575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,0,question,,Predicted factors for older Taiwanese to be healthy octogenarians: Results of an 18-year national cohort study.,Hsu,"Hsu, Wei-Chung; Tsai, Alan C.; Chen, Yu-Chia; Wang, Jiun-Yi",2017,10.1111/ggi.13112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,1,collected ,1,Optimism and Healthy Aging in Women.,James,"James, Peter; Kim, Eric S.; Kubzansky, Laura D.; Zevon, Emily S.; Trudel-Fitzgerald, Claudia; Grodstein, Francine",2019,10.1016/j.amepre.2018.07.037,3,1,3,1,1,1,3,1,2,U.S.,"33,326",M 100%,Nurses' Health study,67.9,NA,8,2,Healthy aging,20.5,NA,NA,Surviving through follow-up,Free of major chronic diseases.,No subjective memory impairment,No major physical limitation,,,,,,,2,2,3
